Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Joking
"The Blessed Lord said: I have declared this imperishable Yoga to Vivasvan. Vivasvan told it to Manu, and Manu told it to Ikshvaku. 
",0,0,0,0,0,0,0,0,0,1
"Thus, this Yoga, received in unbroken tradition, was known by the royal sages. But, O chastiser of foes, it was lost in time through this great age. 


",0,0,0,1,0,1,0,0,0,0
"This ancient Yoga is now declared by Me to you. Because you are My devotee and friend, this Supreme secret is disclosed to you. 


",1,0,0,0,0,0,0,0,0,0
"Arjuna said: What was Your previous birth, and what was the previous birth of Vivasvan? How can I know that You taught this to him in the beginning? 




",0,0,0,0,0,0,1,0,0,1
"The Blessed Lord said: Many births have passed for Me and for you, Arjuna. I know them all, but you do not know them, O chastiser of foes. 




",0,0,1,0,0,0,1,0,0,0
"Although I am unborn, eternal, and the Lord of all beings, yet I am born by My own nature, enveloped by My Maya.  




",0,0,0,1,0,1,0,0,0,0
"Whenever there is a decline of righteousness, O Bharata, and an exaltation of unrighteousness, then I manifest Myself. 




",0,0,0,1,0,1,1,0,0,0
"For the protection of the good, for the destruction of the wicked, and for the establishment of righteousness, I am born in every age. 






",1,0,1,0,0,0,0,0,0,0
"Whoever knows My divine birth and activities in truth, he does not return to this material existence after giving up the body, but attains Me, O Arjuna. 






",0,0,1,1,0,0,1,0,0,0
"Many, free from attachment, fear, and anger, who have surrendered to Me and are purified by the fire of knowledge, have attained My nature. 






",1,0,0,0,0,0,0,0,0,0
"As men approach Me, so I reward them.  Men everywhere follow My path, O Partha. 






",1,0,0,0,0,0,0,0,0,1
"Those who desire the fruits of their actions worship the deities here.  Quickly, indeed, the result of work is achieved in this human world. 






",1,0,1,0,0,0,0,0,0,0
"I have created the four social classes according to their qualities and activities. Know Me as the creator without beginning, though I do not create. 






",1,0,0,1,0,0,1,0,0,0
"Actions do not stain Me, nor do I desire the fruits of action. Whoever knows Me thus is not bound by actions. 








",0,0,0,1,0,1,1,0,0,0
"Knowing this, even those seekers of liberation before you acted. Therefore, you also act as they did in the past. 








",0,0,0,0,0,0,1,0,0,0
"Even the wise are bewildered about what action is and what is inaction. I will tell you about action by knowing which you will be liberated from evil. 










",0,0,0,1,0,0,0,0,0,1
"Action must be understood, so too must inaction be understood, and actionlessness must also be understood, for the course of action is subtle. 







",0,0,0,1,0,0,1,0,0,0
"He who sees inaction in action and action in inaction, he is a wise man among men, and he is a yogi, the doer of all actions. 










",1,0,0,0,0,0,0,0,0,0
"He whose all undertakings are free from desire and thought of self, whose actions have been burned to ashes by the fire of knowledge—him the wise call a learned man. 




",0,0,0,1,0,1,1,0,0,0
"Free from attachment to the fruits of actions, ever content, and without any dependence, even though engaging in action, he really does nothing. 




",1,0,0,0,0,0,1,0,0,0
"He whose mind is free from desire, whose self is detached, and who has renounced all possessions—even though performing bodily actions, he incurs no sin.  






",0,0,0,0,0,0,1,0,0,0
"He who is content with whatever comes his way, who is free from duality, and who is free from envy, who is the same in success and failure, even though acting, is not bound. 






",1,0,0,0,0,0,1,0,0,0
"For one whose attachments are gone, who is liberated, and whose mind is established in knowledge, whose actions are performed as an offering, all actions are completely absorbed. 








",1,0,0,0,0,0,0,0,0,0
"The offering is Brahman, the oblation is Brahman, the fire is Brahman, and by Brahman it is offered. By Brahman the same goal is to be reached, through the contemplation of Brahman as the action. 






",1,0,0,0,0,0,0,0,0,0
"Some yogis worship the divine with the sacrifice of knowledge, while others offer the sacrifice of knowledge into the fire of Brahman with the sacrifice of knowledge. 








",0,0,1,0,0,0,1,0,0,0
"Some offer their ears and other senses into the fire of restraint, while others offer sounds and other objects of sense into the fire of the senses. 








",1,0,0,0,0,0,1,0,0,0
"Some offer all actions of the senses and actions of the vital breaths into the fire of self-control, illuminated by the fire of knowledge. 








",1,0,0,0,0,0,0,0,0,0
"Some offer sacrifices of wealth, austerities, and yoga, while others, the austere and steadfast, offer sacrifices of self-study and knowledge. 










",1,0,1,0,0,0,1,0,0,0
"Some offer the outgoing breath into the incoming breath, and others offer the incoming breath into the outgoing breath. Some, by stopping the movement of the incoming and outgoing breaths, become devoted to the practice of breath control. Others, with controlled diets, offer the vital breaths into the vital breaths. 






",1,0,0,0,0,0,0,0,0,0
"All these knowers of sacrifice, their sins consumed by sacrifice, who eat the nectar remaining after the sacrifice, attain the eternal Brahman. 










",1,0,1,0,0,0,0,0,0,0
"For one who does not perform sacrifice, there is no happiness in this world, nor in the next, O best of the Kurus. 






",0,0,1,0,0,1,0,0,0,0
"These numerous sacrifices are extended throughout the mouth of Brahman. Know that they are all born of action. By knowing this, you will be liberated. 










",1,0,1,0,0,0,0,0,0,0
"O chastiser of foes, the sacrifice of knowledge is superior to the sacrifice of material wealth.  All actions, O Partha, culminate in knowledge. 












",0,0,0,1,0,0,1,0,0,0
"Know that by prostration, by inquiry, and by service, the true knowers of reality will teach you that knowledge. 










",1,0,1,0,0,0,0,0,0,0
"Knowing this, you will never again be deluded, O Pandava.  By this you will see all beings in yourself and in Me. 












",1,0,0,0,0,0,0,0,0,0
