Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Joking
"Arjuna said:  Sannyasa, Krishna, and the performance of actions—you praise both. Which of these two is better? Tell me that definitively.
",1,0,0,0,0,0,1,0,0,1
"The Blessed Lord said:  Renunciation of action and the yoga of action are both conducive to liberation. But of the two, the yoga of action is superior to renunciation of action.
",0,0,1,0,0,0,0,0,0,0
"He who neither hates nor desires, is truly a constant renouncer; O mighty-armed one, free from duality, he is easily liberated from bondage.
",1,0,0,0,0,0,0,0,0,0
"Fools declare Sāṅkhya and Yoga to be different; the wise do not.  One who properly applies himself to either attains the fruit of both.
",0,0,0,1,0,0,1,0,0,0
"The state attained by Sāṅkhya is also attained by Yoga. He who sees that Sāṅkhya and Yoga are one, sees truly.
",0,0,0,0,0,0,0,0,0,0
"Renunciation, O mighty-armed one, leads to suffering because of its incompleteness; but the yogi, united with Yoga, quickly attains Brahman.
",0,0,1,0,0,0,0,0,0,0
"He whose mind is united with Yoga, whose self is purified, whose self is conquered, whose senses are conquered, and who sees the self in all beings, is not affected by action, even while acting.
",1,0,0,0,0,0,1,0,0,0
"The knower of truth, while seeing, hearing, touching, smelling, eating, going, sleeping, and breathing, should not think, ""I do nothing at all.""
",0,0,0,1,0,1,1,0,0,0
"While speaking, giving, taking, opening and closing the eyes, he should consider that the senses are functioning in relation to their objects.
",1,0,0,0,0,0,0,0,0,0
"He who performs actions, dedicating them to Brahman, abandoning attachment, is not stained by sin, like a lotus leaf by water.
",1,0,1,0,0,0,1,0,0,0
"Yogis perform actions with their body, mind, intellect, and senses, abandoning attachment, for the purification of the self.
",1,0,0,0,0,0,0,0,0,0
"The one who is united with Yoga, abandoning the fruit of action, attains final peace.  The one not united with Yoga, attached to the fruit through desire, becomes bound.
",1,0,0,1,0,0,0,0,0,0
"Abandoning all actions mentally, the self-controlled one dwells happily in the nine-gated city (the body), neither acting nor causing to act.
",1,0,0,1,0,1,0,0,0,0
"The Lord does not create agency, actions, or the connection with the fruit of action; it is nature that acts.
",0,0,1,0,0,0,1,0,0,0
"The all-pervading Lord does not accept anyone's sin nor good deed. Knowledge is obscured by ignorance; therefore, people are deluded.
",0,0,0,1,0,1,1,0,0,0
"For those whose ignorance has been destroyed by knowledge, that supreme knowledge illuminates them like the sun.
",0,0,1,1,0,0,0,0,0,0
"Those whose intellect, self, and devotion are centered on that (Brahman), and who are dedicated to it, attain non-rebirth, their sins cleansed by knowledge.
",1,0,1,0,0,0,0,0,0,0
"The wise see with equal vision a Brahmin, a cow, an elephant, a dog, and a dog-eater, who are endowed with knowledge and humility.
",1,0,0,0,0,0,0,0,0,0
"For those whose minds are established in equality, the creation is conquered here and now.  Brahman is faultless and equal; therefore, they abide in Brahman.
",1,0,1,0,0,0,0,0,0,0
"He who is a knower of Brahman, established in Brahman, neither rejoices upon obtaining what is pleasant nor grieves upon obtaining what is unpleasant; his intellect is steadfast, and he is not bewildered.
",1,0,1,0,0,0,0,0,0,0
"He whose self is unattached to external contacts finds the joy within the self. That self, united with the Yoga of Brahman, enjoys imperishable bliss.
",1,0,1,0,0,0,0,0,0,0
"For those who are born of contact, O Arjuna, are sources of pain; they are finite. The wise do not delight in them.
",0,0,0,1,0,1,1,0,0,0
"He who is able to bear, even here, before liberation from the body, the onslaught born of desire and anger—he is the united one, he is the happy man.


",1,0,0,0,0,1,0,0,0,0
"He who is inwardly happy, inwardly contented, and inwardly luminous, that yogi attains to the liberation in Brahman, becoming one with Brahman.

",1,0,1,0,0,0,0,0,0,0
"The sages, whose sins are eradicated, whose duality is cut off, whose selves are restrained, and who delight in the welfare of all beings, attain liberation in Brahman.
",1,0,1,0,0,0,0,0,0,0
"For those who are free from desire and anger, who are ascetics, and whose minds are restrained, liberation in Brahman exists for those who know the self.
",1,0,1,0,0,0,0,0,0,0
"Fixing the senses externally, and the gaze between the eyebrows, and making the outgoing and incoming breaths equal, and directing them through the nostrils—


",1,0,0,0,0,0,0,0,0,0
"The sage whose senses, mind, and intellect are restrained, who is devoted to liberation, and who is free from desire, fear, and anger—he is indeed always free.
",1,0,1,0,0,0,0,0,0,0
"Knowing Me to be the enjoyer of sacrifices and austerities, the Lord of all worlds, and the well-wisher of all beings, one attains peace.
",1,0,1,0,0,0,0,0,0,0
