slokas_no,slokas,slokas_translated
1,श्रीभगवानुवाचअनाश्रित: कर्मफलं कार्यं कर्म करोति य: ।स सन्न्यासी च योगी च न निरग्न‍िर्न चाक्रिय: ॥ १ ॥,"“Lord Shri Krishna said: He who acts because it is his duty, not thinking of the consequences, is really spiritual and a true ascetic; and not he who merely observes rituals or who shuns all action. "
2,यं सन्न्यासमिति प्राहुर्योगं तं विद्धि पाण्डव ।न ह्यसन्न्यस्तसङ्कल्पो योगी भवति कश्चन ॥ २ ॥, O Arjuna! Renunciation is in fact what is called Right Action. No one can become spiritual who has not renounced all desire. 
3,आरुरुक्षोर्मुनेर्योगं कर्म कारणमुच्यते ।योगारूढस्यतस्यैव शम: कारणमुच्यते ॥ ३ ॥," For the sage who seeks the heights of spiritual meditation, practice is the only method, and when he has attained them, he must maintain himself there by continual self-control. "
4,यदा हि नेन्द्रियार्थेषु न कर्मस्वनुषज्ज‍ते ।सर्वसङ्कल्पसन्न्यासी योगारूढस्तदोच्यते ॥ ४ ॥," When a man renounces even the thought of initiating action, when he is not interested in sense objects or any results which may flow from his acts, then in truth he understands spirituality. "
5,उद्धरेदात्मनात्मानं नात्मानमवसादयेत् ।आत्मैव ह्यात्मनो बन्धुरात्मैव रिपुरात्मन: ॥ ५ ॥," Let him seek liberation by the help of his Highest Self, and let him never disgrace his own Self. For that Self is his only friend; yet it may also be his enemy. "
6,बन्धुरात्मात्मनस्तस्य येनात्मैवात्मना जित: ।अनात्मनस्तु शत्रुत्वे वर्तेतात्मैव शत्रुवत् ॥ ६ ॥," To him who has conquered his lower nature by Its help, the Self is a friend, but to him who has not done so, It is an enemy. "
7,जितात्मन: प्रशान्तस्य परमात्मा समाहित: ।शीतोष्णसुखदु:खेषु तथा मानापमानयो: ॥ ७ ॥," The Self of him who is self-controlled, and has attained peace is equally unmoved by heat or cold, pleasure or pain, honour or dishonour. "
8,ज्ञानविज्ञानतृप्‍तात्मा कूटस्थो विजितेन्द्रिय: ।युक्त इत्युच्यते योगी समलोष्ट्राश्मकाञ्चन: ॥ ८ ॥," He who desires nothing but wisdom and spiritual insight, who has conquered his senses and who looks with the same eye upon a lump of earth, a stone or fine gold, is a real saint. "
9,सुहृन्मित्रार्युदासीनमध्यस्थद्वेष्यबन्धुषु ।साधुष्वपि च पापेषु समबुद्धिर्विशिष्यते ॥ ९ ॥," He looks impartially on all – lover, friend or foe; indifferent or hostile; alien or relative; virtuous or sinful. "
10,योगी युञ्जीत सततमात्मानं रहसि स्थित: ।एकाकी यतचित्तात्मा निराशीरपरिग्रह: ॥ १० ॥," Let the student of spirituality try unceasingly to concentrate his mind; Let him live in seclusion, absolutely alone, with mind and personality controlled, free from desire and without possessions. "
