slokas_no,slokas,slokas_translated
1,श्रीभगवानुवाचइमं विवस्वते योगं प्रोक्तवानहमव्ययम् ।विवस्वान्मनवे प्राह मनुरिक्ष्वाकवेऽब्रवीत् ॥ १ ॥,"“Lord Shri Krishna said: This imperishable philosophy I taught to Viwaswana, the founder of the Sun dynasty, Viwaswana gave it to Manu the lawgiver, and Manu to King Ikshwaku! "
2,एवं परम्पराप्राप्तमिमं राजर्षयो विदुः ।स कालेनेह महता योगे नष्टः परन्तप ॥ २ ॥," The Divine Kings knew it, for it was their tradition. Then, after a long time, at last it was forgotten. "
3,स एवायं मया तेऽद्य योगः प्रोक्तः पुरातनः ।भक्तोऽसि मे सखा चेति रहस्यं ह्येतदुत्तमम् ॥ ३ ॥," It is the same ancient Path that I have now revealed to you, since you are My devotee and My friend. It is the supreme Secret. "
4,अर्जुन उवाचअपरं भवतो जन्म परं जन्म विवस्वतः ।कथमेतद्विजानीयां त्वमादौ प्रोक्तवानिति ॥ ४ ॥, Arjuna asked: My Lord! Viwaswana was born before You; how then can You have revealed it to him? 
5,श्रीभगवानुवाचबहूनि मे व्यतीतानि जन्मानि तव चार्जुन ।तान्यहं वेद सर्वाणि न त्वं वेत्थ परन्तप ॥ ५ ॥," Lord Shri Krishna replied: I have been born again and again, from time to time; you too, O Arjuna! My births are known to Me, but you know not yours. "
6,अजोऽपि सन्नव्ययात्मा भूतानामीश्वरोऽपि सन् ।प्रकृतिं स्वामधिष्ठाय सम्भवाम्यात्ममायया ॥ ६ ॥," I have no beginning. Though I am imperishable, as well as Lord of all that exists, yet by My own will and power do I manifest Myself. "
7,यदा यदा हि धर्मस्य ग्लानिर्भवति भारत ।अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम् ॥ ७ ॥," Whenever spirituality decays and materialism is rampant, then, O Arjuna, I reincarnate Myself! "
8,परित्राणाय साधुनां विनाशाय च दुष्कृताम् ।धर्मसंस्थानार्थाय सम्भवामि युगे युगे ॥ ८ ॥," To protect the righteous, to destroy the wicked and to establish the kingdom of God, I am reborn from age to age. "
9,जन्म कर्म च मे दिव्यमेवं यो वेत्ति तत्त्वतः ।त्यक्त्वा देहं पुनर्जन्म नैति मामेति सोऽर्जुन ॥ ९ ॥," He who realises the divine truth concerning My birth and life is not born again; and when he leaves his body, he becomes one with Me. "
10,वीतरागभयक्रोधा मन्मया मामुपाश्रिताः ।बहवो ज्ञानतपसा पूता मद्भ‍ावमागताः ॥ १० ॥," Many have merged their existences in Mine, being freed from desire, fear and anger, filled always with Me and purified by the illuminating flame of self-abnegation. "
11,ये यथा मां प्रपद्यन्ते तांस्तथैव भजाम्यहम् ।मम वर्त्मानुवर्तन्ते मनुष्याः पार्थ सर्वशः ॥ ११ ॥," Howsoever men try to worship Me, so do I welcome them. By whatever path they travel, it leads to Me at last. "
12,काङ्क्षन्तः कर्मणां सिद्धिं यजन्त इह देवता ।क्षिप्रं हि मानुषे लोके सिद्धिर्भवति कर्मजा ॥ १२ ॥," Those who look for success, worship the Powers; and in this world their actions bear immediate fruit. "
13,चातुर्वर्ण्यं मया सृष्टं गुणकर्मविभागशः ।तस्य कर्तारमपि मां विद्ध्यकर्तारमव्ययम् ॥ १३ ॥," The four divisions of society (the wise, the soldier, the merchant, the labourer) were created by Me, according to the natural distribution of Qualities and instincts. I am the author of them, though I Myself do no action, and am changeless. "
14,न मां कर्माणि लिम्पन्ति न मे कर्मफले स्पृहा ।इति मां योऽभिजानाति कर्मभिर्न स बध्यते ॥ १४ ॥," My actions do not fetter Me, nor do I desire anything that they can bring. He who thus realises Me is not enslaved by action. "
15,एवं ज्ञात्वा कृतं कर्म पूर्वैरपि मुमुक्षुभिः ।कुरु कर्मैव तस्मात्त्वं पूर्वैः पूर्वतरं कृतम् ॥ १५ ॥," In the light of wisdom, our ancestors, who sought deliverance, performed their acts. Act you also, as did our fathers of old. "
16,किं कर्म किमकर्मेति कवयोऽप्यत्र मोहिताः ।तत्ते कर्म प्रवक्ष्यामि यज्ज्ञात्वा मोक्ष्यसेऽश‍ुभात् ॥ १६ ॥," What is action and what is inaction? It is a question which has bewildered the wise. But I will declare unto you the philosophy of action, and knowing it, you shall be free from evil. "
17,कर्मणो ह्यपि बोद्धव्यं बोद्धव्यं च विकर्मणः ।अकर्मणश्च बोद्धव्यं गहना कर्मणो गतिः ॥ १७ ॥," It is necessary to consider what is right action, what is wrong action, and what is inaction, for mysterious is the law of action. "
18,कर्मण्यकर्म यः पश्येदकर्मणि च कर्म यः ।स बुद्धिमान्मनुष्येषु स युक्तः कृत्स्नकर्मकृत् ॥ १८ ॥," He who can see inaction in action, and action in inaction, is the wisest among men. He is a saint, even though he still acts. "
19,यस्य सर्वे समारम्भाः कामसंकल्पवर्जिताः ।ज्ञानाग्निदग्धकर्माणं तमाहुः पण्डितं बुधाः ॥ १९ ॥," The wise call him a sage, for whatever he undertakes is free from the motive of desire, and his deeds are purified by the fire of Wisdom. "
20,त्यक्त्वा कर्मफलासङ्गं नित्यतृप्तो निराश्रयः ।कर्मण्यभिप्रवृत्तोऽपि नैव किञ्चित्करोति सः ॥ २० ॥," Having surrendered all claim to the results of his actions, always contented and independent, in reality he does nothing, even though he is apparently acting. "
21,निराशीर्यतचित्तात्मा त्यक्तसर्वपरिग्रहः ।शारीरं केवलं कर्म कुर्वन्नाप्‍नोति किल्बिषम् ॥ २१ ॥," Expecting nothing, his mind and personality controlled, without greed, doing bodily actions only; though he acts, yet he remains untainted. "
22,यदृच्छालाभसंतुष्टो द्वन्द्वातीतो विमत्सरः ।समः सिद्धावसिद्धौ च कृत्वापि न निबध्यते ॥ २२ ॥," Content with what comes to him without effort of his own, mounting above the pairs of opposites, free from envy, his mind balanced both in success and failure; though he acts, yet the consequences do not bind him. "
23,गतसङ्गस्य मुक्तस्य ज्ञानावस्थितचेतसः ।यज्ञायाचरतः कर्म समग्रं प्रविलीयते ॥ २३ ॥," He who is without attachment, free, his mind centered in wisdom, his actions, being done as a sacrifice, leave no trace behind. "
24,ब्रह्मार्पणं ब्रह्म हविर्ब्रह्माग्न‍ौ ब्रह्मणा हुतम् ।ब्रह्मैव तेन गन्तव्यं ब्रह्मकर्मसमाधिना ॥ २४ ॥," For him, the sacrifice itself is the Spirit; the Spirit and the oblation are one; it is the Spirit Itself which is sacrificed in Its own fire, and the man even in action is united with God, since while performing his act, his mind never ceases to be fixed on Him. "
25,दैवमेवापरे यज्ञं योगिनः पर्युपासते ।ब्रह्माग्न‍ावपरे यज्ञं यज्ञेनैवोपजुह्वति ॥ २५ ॥, Some sages sacrifice to the Powers; others offer themselves on the alter of the Eternal. 
26,श्रोत्रादीनीन्द्रियाण्यन्ये संयमाग्न‍िषु जुह्वति ।शब्दादीन्विषयानन्य इन्द्रियाग्न‍िषु जुह्वति ॥ २६ ॥, Some sacrifice their physical senses in the fire of self-control; others offer up their contact with external objects in the sacrificial fire of their senses. 
27,सर्वाणीन्द्रियकर्माणि प्राणकर्माणि चापरे ।आत्मसंयमयोगाग्न‍ौ जुह्वति ज्ञानदीपिते ॥ २७ ॥," Other again sacrifice their activities and their vitality in the Spiritual fire of selfabnegation, kindled by wisdom. "
28,द्रव्ययज्ञास्तपोयज्ञा योगयज्ञास्तथापरे ।स्वाध्यायज्ञानयज्ञाश्च यतयः संशितव्रताः ॥ २८ ॥," And yet others offer as their sacrifice wealth, austerities and meditation. Monks wedded to their vows renounce their scriptural learning and even their spiritual powers. "
29,अपाने जुह्वति प्राणं प्राणेऽपानं तथापरे ।प्राणापानगती रुद्ध्वा प्राणायामपरायणाः ।अपरे नियताहाराः प्राणान्प्राणेषु जुह्वति ॥ २९ ॥," There are some who practise control of the Vital Energy and govern the subtle forces of Prana and Apana, thereby sacrificing their Prana unto Apana, or their Apana unto Prana. "
30,सर्वेऽप्येते यज्ञविदो यज्ञक्षपितकल्मषाः ।यज्ञशिष्टामृतभुजो यान्ति ब्रह्म सनातनम् ॥ ३० ॥," Others, controlling their diet, sacrifice their worldly life to the spiritual fire. All understand the principal of sacrifice, and by its means their sins are washed away. "
31,नायं लोकोऽस्त्ययज्ञस्य कुतोऽन्यः कुरुसत्तम ॥ ३१ ॥," Tasting the nectar of immortality, as the reward of sacrifice, they reach the Eternal. This world is not for those who refuse to sacrifice; much less the other world. "
32,एवं बहुविधा यज्ञा वितता ब्रह्मणो मुखे ।कर्मजान्विद्धि तान्सर्वानेवं ज्ञात्वा विमोक्ष्यसे ॥ ३२ ॥," In this way other sacrifices too may be undergone for the Spirit’s sake. Know you that they all depend on action. Knowing this, you shall be free. "
33,श्रेयान्द्रव्यमयाद्यज्ञाज्ज्ञानयज्ञः परन्तप ।सर्वं कर्माखिलं पार्थ ज्ञाने परिसमाप्यते ॥ ३३ ॥," The sacrifice of wisdom is superior to any material sacrifice, for, O Arjuna, the climax of action is always Realisation. "
34,तद्विद्धि प्रणिपातेन परिप्रश्न‍ेन सेवया ।उपदेक्ष्यन्ति ते ज्ञानं ज्ञानिनस्तत्त्वदर्शिनः ॥ ३४ ॥," This shall you learn by prostrating yourself at the Master’s feet, by questioning Him and by serving Him. The wise who have realised the Truth will teach you wisdom. "
35,यज्ज्ञात्वा न पुनर्मोहमेवं यास्यसि पाण्डव ।येन भूतान्यशेषाणि द्रक्ष्यस्यात्मन्यथो मयि ॥ ३५ ॥," Having known That, you shall never again be confounded; and, O Arjuna, by the power of that wisdom, you shall see all these people as if they were yours own Self, and therefore as Me. "
36,अपि चेदसि पापेभ्यः सर्वेभ्यः पापकृत्तमः ।सर्वं ज्ञानप्ल‍वेनैव वृजिनं सन्तरिष्यसि ॥ ३६ ॥," Be you the greatest of sinners, yet you shall cross over all sin by the ferryboat of wisdom. "
37,यथैधांसि समिद्धोऽग्न‍िर्भस्मसात्कुरुतेऽर्जुन ।ज्ञानाग्न‍िः सर्वकर्माणि भस्मसात्कुरुते तथा ॥ ३७ ॥," As the kindled fire consumes the fuel, so, O Arjuna, in the flame of wisdom the embers of action are burnt to ashes. "
38,न हि ज्ञानेन सदृशं पवित्रमिह विद्यते ।तत्स्वयं योगसंसिद्धः कालेनात्मनि विन्दति ॥ ३८ ॥, There is nothing in the world so purifying as wisdom; and he who is a perfect saint finds that at last in his own Self. 
39,श्रद्धावाँल्ल‍भते ज्ञानं तत्परः संयतेन्द्रियः ।ज्ञानं लब्ध्वा परां शान्तिमचिरेणाधिगच्छति ॥ ३९ ॥," He who is full of faith attains wisdom, and he too who can control his senses, having attained that wisdom, he shall before long attain Supreme Peace. "
40,अज्ञश्चाश्रद्दधानश्च संशयात्मा विनश्यति ।नायं लोकोऽस्ति न परो न सुखं संशयात्मनः ॥ ४० ॥," But the ignorant man, and he who has no faith, and the sceptic are lost. Neither in this world nor elsewhere is there any happiness in store for him who always doubts. "
41,योगसन्न्यस्तकर्माणं ज्ञानसञ्छिन्नसंशयम् ।आत्मवन्तं न कर्माणि निबध्न‍‍न्ति धनञ्जय ॥ ४१ ॥," But the man who has renounced his action for meditation, who has cleft his doubt in two by the sword of wisdom, who remains always enthroned in his Self, is not bound by his acts. "
42,तस्मादज्ञानसम्भूतं हृत्स्थं ज्ञानासिनात्मनः ।छित्त्वैनं संशयं योगमातिष्ठोत्तिष्ठ भारत ॥ ४२ ॥," Therefore, cleaving apart with the sword of wisdom the doubts of the heart, which yours own ignorance has engendered, follow the Path of Wisdom and arise!” "
