slokas_no,slokas,slokas_translated
1,सञ्जय उवाचतं तथा कृपयाविष्टमश्रुपूर्णाकुलेक्षणम् ।विषीदन्तमिदं वाक्यमुवाच मधुसूदनः ॥ १ ॥,"Sanjaya then told how the Lord Shri Krishna, seeing Arjuna overwhelmed with compassion, his eyes dimmed with flowing tears and full of despondency, consoled him: "
2,श्री भगवानुवाचकुतस्त्वा कश्मलमिदं विषमे समुपस्थितम् ।अनार्यजुष्टमस्वर्ग्यकीर्तिकरमर्जुन ॥ २ ॥," “The Lord said: My beloved friend! Why yield, just on the eve of battle, to this weakness which does no credit to those who call themselves Aryans, and only brings them infamy and bars against them the gates of heaven? "
3,क्ल‍ैब्यं मा स्म गमः पार्थ नैतत्त्वय्युपपद्यते ।क्षुद्रं हृदयदौर्बल्यं त्यक्त्वोत्तिष्ठ परन्तप ॥ ३ ॥," O Arjuna! Why give way to unmanliness? O you who are the terror of yours enemies! Shake off such shameful effeminacy, make ready to act! "
4,अर्जुन उवाचकथं भीष्ममहं संख्ये द्रोणं च मधुसूदन ।इषुभिः प्रतियोत्स्यामि पूजार्हावरिसूदन ॥ ४ ॥," Arjuna argued: My Lord! How can I, when the battle rages, send an arrow through Bheeshma and Drona, who should receive my reverence? "
5,गुरूनहत्वा हि महानुभावान्श्रेयो भोक्तुं भैक्ष्यमपीह लोके ।हत्वार्थकामांस्तु गुरूनिहैवभुज्ज‍ीय भोगान्‍रुधिरप्रदिग्धान् ॥ ५ ॥," Rather would I content myself with a beggar’s crust that kill these teachers of mine, these precious noble souls! To slay these masters who are my benefactors would be to stain the sweetness of life’s pleasures with their blood. "
6,न चैतद्विद्मः कतरन्नो गरीयोयद्वा जयेम यदि वा नो जयेयुः ।यानेव हत्वा न जिजीविषाम-स्तेऽवस्थिताः प्रमुखे धार्तराष्ट्राः ॥ ६ ॥," Nor can I say whether it were better that they conquer me or for me to conquer them, since I would no longer care to live if I killed these sons of Dhritarashtra, now preparing for fight. "
7,कार्पण्यदोषोपहतस्वभावःपृच्छामि त्वां धर्मसम्मूढचेताः ।यच्छ्रेयः स्यान्निश्‍चितं ब्रूहि तन्मेशिष्यस्तेऽहं शाधि मां त्वां प्रपन्नम् ॥ ७ ॥," My heart is oppressed with pity; and my mind confused as to what my duty is. Therefore, my Lord, tell me what is best for my spiritual welfare, for I am Your disciple. Please direct me, I pray. "
8,न हि प्रपश्यामि ममापनुद्याद् -यच्छोकमुच्छोषणमिन्द्रियाणाम् ।अवाप्य भूभावसपत्‍नमृद्धंराज्यं सुराणामपि चाधिपत्यम् ॥ ८ ॥," For should I attain the monarchy of the visible world, or over the invisible world, it would not drive away the anguish which is now paralysing my senses.” "
9,सञ्जय उवाचएवमुक्त्वा हृषीकेशं गुडाकेशः परन्तपः ।न योत्स्य इति गोविन्दामुक्त्वा तूष्णीं बभूव ह ॥ ९ ॥," Sanjaya continued: “Arjuna, the conqueror of all enemies, then told the Lord of All-Hearts that he would no fight, and became silent, O King! "
10,तमुवाच हृषीकेशः प्रहसन्निव भारत ।सेनयोरूभयोर्मध्ये विषीदन्तमिदं वचः ॥ १० ॥," Thereupon the Lord, with a gracious smile, addressed him who was so much depressed in the midst of the two armies. "
11,श्री भगवानुवाचअशोच्यनन्वशोचस्त्वं प्रज्ञावादांश्च भाषसे ।गतासूनगतासूंश्च नानुशोचन्ति पण्डिताः ॥ ११ ॥," Lord Shri Krishna said: Why grieve for those for whom no grief is due, and yet profess wisdom? The wise grieve neither for the dead nor the living. "
12,न त्वेवाहं जातु नासं न त्वं नेमे जनाधिपाः ।न चैव नभविष्यामः सर्वे वयमतः परम् ॥ १२ ॥," There was never a time when I was not, nor you, nor these princes were not; there will never be a time when we shall cease to be. "
13,देहिनोऽस्मिन्यथा देहे कौमारं यौवनं जरा ।तथा देहान्तरप्राप्तिर्धीरस्तत्र न मुह्यति ॥ १३ ॥," As the soul experiences in this body infancy, youth and old age, so finally it passes into another. The wise have no delusion about this. "
14,मात्रास्पर्शास्तु कौन्तेय शीतोष्णसुखदुःखदाः ।आगमापायिनोऽनित्यास्तांस्तितिक्षस्व भारत ॥ १४ ॥," Those external relations which bring cold and heat, pain and happiness, they come and go; they are not permanent. Endure them bravely, O Prince! "
15,यं हि न व्यथयन्त्येते पुरुषं पुरुषर्षभ ।समदुःखसुखं धीरं सोऽमृतत्वाय कल्पते ॥ १५ ॥," The hero whose soul is unmoved by circumstance, who accepts pleasure and pain with equanimity, only he is fit for immortality. "
16,नासतो विद्यते भावो नाभावो विद्यते सतः ।उभयोरपि दृष्टोऽन्तस्त्वनयोस्तत्त्वदर्शिभिः ॥ १६ ॥," That which is not, shall never be; that which is, shall never cease to be. To the wise, these truths are self-evident. "
17,अविनाशि तु तद्विद्धि येन सर्वमिदं ततम् ।विनाशमव्ययस्यास्य न कश्चित्कर्तुमर्हति ॥ १७ ॥," The Spirit, which pervades all that we see, is imperishable. Nothing can destroy the Spirit. "
18,अन्तवन्त इमे देहा नित्यस्योक्ताः शरीरिणः ।अनाशिनोऽप्रमेयस्य तस्माद्युध्यस्व भारत ॥ १८ ॥," The material bodies which this Eternal, Indestructible, Immeasurable Spirit inhabits are all finite. Therefore fight, O Valiant Man! "
19,य एनं वेत्ति हन्तारं यश्चैनं मन्यते हतम् ।उभौ तौ न विजानीतो नायं हन्ति न हन्यते ॥ १९ ॥," He who thinks that the Spirit kills, and he who thinks of It as killed, are both ignorant. The Spirit kills not, nor is It killed. "
20,न जायते म्रियते वा कदाचि-न्नायं भूत्वा भविता वा न भूयः ।अजो नित्यः शाश्वतोऽयं पुराणोन हन्यते हन्यमाने शरीरे ॥ २० ॥," It was not born; It will never die, nor once having been, can It cease to be. Unborn, Eternal, Ever-enduring, yet Most Ancient, the Spirit dies not when the body is dead. "
21,वेदाविनाशिनं नित्यं य एनमजमव्ययम् ।कथं स पुरुषः पार्थ कं घातयति हन्ति कम् ॥ २१ ॥," He who knows the Spirit as Indestructible, Immortal, Unborn, Always-the-Same, how should he kill or cause to be killed? "
22,वासांसि जीर्णानि यथा विहायनवानि गृह्णाति नरोऽपराणि ।तथा शरीराणि विहाय जीर्णा-न्यन्यानि संयाति नवानि देही ॥ २२ ॥," As a man discards his threadbare robes and puts on new, so the Spirit throws off Its wornout bodies and takes fresh ones. "
23,नैनं छिन्दन्ति शस्त्राणि नैनं दहति पावकः ।न चैनं क्ल‍ेदयन्त्यापो न शोषयति मारुतः ॥ २३ ॥," Weapons cleave It not, fire burns It not, water drenches It not, and wind dries It not. "
24,अच्छेद्योऽयमदाह्योऽयमक्ल‍ेद्योऽशोष्य एव च ।नित्यः सर्वगतः स्थाणुरचलोऽयं सनातनः ॥ २४ ॥," It is impenetrable; It can be neither drowned nor scorched nor dried. It is Eternal, Allpervading, Unchanging, Immovable and Most Ancient. "
