slokas_no,slokas,slokas_translated
1,अर्जुन उवाचमदनुग्रहाय परमं गुह्यमध्यात्मसंज्ञितम् ।यत्त्वयोक्तं वचस्तेन मोहोऽयं विगतो मम ॥ १ ॥,"“Arjuna said: My Lord! Your words concerning the Supreme Secret of Self, given for my blessing, have dispelled the illusions which surrounded me. "
2,भवाप्ययौ हि भूतानां श्रुतौ विस्तरशो मया ।त्वत्त: कमलपत्राक्ष माहात्म्यमपि चाव्ययम् ॥ २ ॥," O Lord, whose eyes are like the lotus petal! You have described in detail the origin and the dissolution of being, and Yours own Eternal Majesty. "
3,एवमेतद्यथात्थ त्वमात्मानं परमेश्वर ।द्रष्टुमिच्छामि ते रूपमैश्वरं पुरुषोत्तम ॥ ३ ॥," I believe all as You have declared it. I long now to have a vision of your Divine Form, O You Most High! "
4,मन्यसे यदि तच्छक्यं मया द्रष्टुमिति प्रभो ।योगेश्वर ततो मे त्वं दर्शयात्मानमव्ययम् ॥ ४ ॥," If You think that it can be made possible for me to see it, show me, O Lord of Lords, Yours own Eternal Self. "
5,श्रीभगवानुवाचपश्य मे पार्थ रूपाणि शतशोऽथ सहस्रश: ।नानाविधानि दिव्यानि नानावर्णाकृतीनि च ॥ ५ ॥," Lord Shri Krishna replied: Behold, O Arjuna! My celestial forms, by hundred and thousands, various in kind, in colour and in shape. "
6,पश्यादित्यान्वसून्‍रुद्रानश्विनौ मरुतस्तथा ।बहून्यदृष्टपूर्वाणि पश्याश्चर्याणि भारत ॥ ६ ॥," Behold you the Powers of Nature: fire, earth, wind and sky; the sun, the heavens, the moon, the stars; all forces of vitality and of healing; and the roving winds. See the myriad wonders revealed to none but you. "
7,इहैकस्थं जगत्कृत्स्नं पश्याद्य सचराचरम् ।मम देहे गुडाकेश यच्च‍ान्यद्‍द्रष्टुमिच्छसि ॥ ७ ॥," Here in Me living as one, O Arjuna, behold the whole universe, movable and immovable, and anything else that you would see! "
8,न तु मां शक्यसे द्रष्टुमनेनैव स्वचक्षुषा ।दिव्यं ददामि ते चक्षु: पश्य मे योगमैश्वरम् ॥ ८ ॥," Yet since with mortal eyes you can not see Me, lo! I give you the Divine Sight. See now the glory of My Sovereignty.” "
9,सञ्जय उवाचएवमुक्त्वा ततो राजन्महायोगेश्वरो हरि: ।दर्शयामास पार्थाय परमं रूपमैश्वरम् ॥ ९ ॥," Sanjaya continued: “Having thus spoken, O King, the Lord Shri Krishna, the Almighty Prince of Wisdom, showed to Arjuna the Supreme Form of the Great God. "
10,अनेकवक्‍त्रनयनमनेकाद्भ‍ुतदर्शनम् ।अनेकदिव्याभरणं दिव्यानेकोद्यतायुधम् ॥ १० ॥," There were countless eyes and mouths, and mystic forms innumerable, with shining ornaments and flaming celestial weapons. "
