slokas_no,slokas,slokas_translated
1,श्रीभगवानुवाचअभयं सत्त्वसंश‍ुद्धिर्ज्ञानयोगव्यवस्थिति: ।दानं दमश्च यज्ञश्च स्वाध्यायस्तप आर्जवम् ॥ १ ॥,"“Lord Shri Krishna continued: Fearlessness, clean living, unceasing concentration on wisdom, readiness to give, self-control, a spirit of sacrifice, regular study of the scriptures, austerities, candour, "
2,अहिंसा सत्यमक्रोधस्त्याग: शान्तिरपैश‍ुनम् ।दया भूतेष्वलोलुप्‍त्वं मार्दवं ह्रीरचापलम् ॥ २ ॥," harmlessness, truth, absence of wrath, renunciation, contentment, straightforwardness, compassion towards all, uncovetousness, courtesy, modesty, constancy, "
3,तेज: क्षमा धृति: शौचमद्रोहो नातिमानिता ।भवन्ति सम्पदं दैवीमभिजातस्य भारत ॥ ३ ॥," Valour, forgiveness, fortitude, purity, freedom from hate and vanity; these are his who possesses the Godly Qualities, O Arjuna! "
4,दम्भो दर्पोऽभिमानश्च क्रोध: पारुष्यमेव च ।अज्ञानं चाभिजातस्य पार्थ सम्पदमासुरीम् ॥ ४ ॥," Hypocrisy, pride, insolence, cruelty, ignorance belong to him who is born of the godless qualities. "
5,दैवी सम्पद्विमोक्षाय निबन्धायासुरी मता ।मा श‍ुच: सम्पदं दैवीमभिजातोऽसि पाण्डव ॥ ५ ॥," Godly qualities lead to liberation; godless to bondage. Do not be anxious, Prince! You have the Godly qualities. "
6,द्वौ भूतसर्गौ लोकेऽस्मिन्दैव आसुर एव च ।दैवो विस्तरश: प्रोक्त आसुरं पार्थ मे श‍ृणु ॥ ६ ॥, All beings are of two classes: Godly and godless. The Godly I have described; I will now describe the other. 
7,प्रवृत्तिं च निवृत्तिं च जना न विदुरासुरा: ।न शौचं नापि चाचारो न सत्यं तेषु विद्यते ॥ ७ ॥, The godless do not know how to act or how to renounce. They have neither purity nor truth. They do not understand the right principles of conduct. 
8,असत्यमप्रतिष्ठं ते जगदाहुरनीश्वरम् ।अपरस्परसम्भूतं किमन्यत्कामहैतुकम् ॥ ८ ॥," They say the universe is an accident with no purpose and no God. Life is created by sexual union, a product of lust and nothing else. "
9,एतां दृष्टिमवष्टभ्य नष्टात्मानोऽल्पबुद्धय: ।प्रभवन्त्युग्रकर्माण: क्षयाय जगतोऽहिता: ॥ ९ ॥," Thinking thus, these degraded souls, these enemies of mankind – whose intelligence is negligible and whose deeds are monstrous – come into the world only to destroy. "
10,काममाश्रित्य दुष्पूरं दम्भमानमदान्विता: ।मोहाद्‍गृहीत्वासद्‍ग्राहान्प्रवर्तन्तेऽश‍ुचिव्रता: ॥ १० ॥," Giving themselves up to insatiable passions, hypocritical, self-sufficient and arrogant, cherishing false conception founded on delusion, they work only to carry out their own unholy purposes. "
