slokas_no,slokas,slokas_translated
1,अर्जुन उवाचप्रकृतिं पुरुषं चैव क्षेत्रं क्षेत्रज्ञमेव च ।एतद्वेदितुमिच्छामि ज्ञानं ज्ञेयं च केशव ॥ १ ॥,"Arjuna said: O Kesava, I wish to understand about Prakriti (nature), Purusha (the enjoyer), and the field and the knower of the field, and the knowledge and the object of knowledge."
2,श्रीभगवानुवाचइदं शरीरं कौन्तेय क्षेत्रमित्यभिधीयते ।एतद्यो वेत्ति तं प्राहु: क्षेत्रज्ञ इति तद्विद: ॥ २ ॥,"The Supreme Lord said: This body, O son of Kunti, is called the field, and one who knows this body is called the knower of the field."
3,क्षेत्रज्ञं चापि मां विद्धि सर्वक्षेत्रेषु भारत ।क्षेत्रक्षेत्रज्ञयोर्ज्ञानं यत्तज्ज्ञानं मतं मम ॥ ३ ॥,"Know Me to be the Knower of the field in all fields, O Arjuna. Knowledge of the field and its Knower is deemed by Me to be true knowledge."
4,तत्क्षेत्रं यच्च‍ यादृक्‍च यद्विकारि यतश्च यत् ।स च यो यत्प्रभावश्च तत्समासेन मे श‍ृणु ॥ ४ ॥,"Listen to me in brief, O son of Kunti, and know that I am the knower in all fields of activities."
5,ऋषिभिर्बहुधा गीतं छन्दोभिर्विविधै: पृथक् ।ब्रह्मसूत्रपदैश्चैव हेतुमद्भ‍िर्विनिश्चितै: ॥ ५ ॥,"The reasons for the various hymns sung by the sages in many ways, the different meters, and the Brahmasutras are all determined by logical reasoning."
6,महाभूतान्यहङ्कारो बुद्धिरव्यक्तमेव च ।इन्द्रियाणि दशैकं च पञ्च चेन्द्रियगोचरा: ॥ ६ ॥,"The great elements, ego, intellect, the unmanifested, the ten senses, and the five sense objects."
7,इच्छा द्वेष: सुखं दु:खं सङ्घातश्चेतना धृति: ।एतत्क्षेत्रं समासेन सविकारमुदाहृतम् ॥ ७ ॥,"Desire, aversion, pleasure, pain, the body, consciousness, and determination - this is called the field with its modifications."
8,अमानित्वमदम्भित्वमहिंसा क्षान्तिरार्जवम् ।आचार्योपासनं शौचं स्थैर्यमात्मविनिग्रह: ॥ ८ ॥,"Humility, non-pretentiousness, non-violence, patience, straightforwardness, service to the teacher, cleanliness, stability, self-control."
9,इन्द्रियार्थेषु वैराग्यमनहङ्कार एव च ।जन्ममृत्युजराव्याधिदु:खदोषानुदर्शनम् ॥ ९ ॥,"Detachment from sense objects and absence of pride; reflecting on the defects of birth, death, old age, sickness, and pain."
10,असक्तिरनभिष्वङ्ग: पुत्रदारगृहादिषु ।नित्यं च समचित्तत्वमिष्टानिष्टोपपत्तिषु ॥ १० ॥,"Non-attachment to son, wife, home, etc., and constantly even-mindedness amidst desired and undesired events."
11,मयि चानन्ययोगेन भक्तिरव्यभिचारिणी ।विविक्तदेशसेवित्वमरतिर्जनसंसदि ॥ ११ ॥,"In me alone is devotion that is unwavering, practiced in solitude, and disinterested in the company of people."
12,अध्यात्मज्ञाननित्यत्वं तत्त्वज्ञानार्थदर्शनम् ।एतज्ज्ञानमिति प्रोक्तमज्ञानं यदतोऽन्यथा ॥ १२ ॥,The eternal nature of spiritual knowledge is to see the purpose of knowledge of the Truth. That which is contrary to this is said to be ignorance.
13,ज्ञेयं यत्तत्प्रवक्ष्यामि यज्ज्ञात्वामृतमश्न‍ुते ।अनादिमत्परं ब्रह्म न सत्तन्नासदुच्यते ॥ १३ ॥,"I will now explain the text in English. The translation of the Sanskrit text you provided is:

""What is to be known, I will tell you, knowing which, one attains immortality. The supreme Brahman is without a beginning, and is said to be neither being nor non-being."" (Bhagavad Gita 13.13)"
14,सर्वत: पाणिपादं तत्सर्वतोऽक्षिशिरोमुखम् ।सर्वत:श्रुतिमल्ल‍ोके सर्वमावृत्य तिष्ठति ॥ १४ ॥,"Everywhere are His hands and legs, His eyes, heads, and faces, and He hears everything in the universe."
15,सर्वेन्द्रियगुणाभासं सर्वेन्द्रियविवर्जितम् ।असक्तं सर्वभृच्च‍ैव निर्गुणं गुणभोक्तृ च ॥ १५ ॥,"Manifesting through the qualities of all the senses, yet devoid of all the senses; unattached, sustaining all, without qualities, and the experiencer of qualities."
16,बहिरन्तश्च भूतानामचरं चरमेव च ।सूक्ष्मत्वात्तदविज्ञेयं दूरस्थं चान्तिके च तत् ॥ १६ ॥,"The Supreme Soul exists both inside and outside all living beings, moving and unmoving. It is subtle and inconceivable, far away yet near."
17,अविभक्तं च भूतेषु विभक्तमिव च स्थितम् ।भूतभर्तृ च तज्ज्ञेयं ग्रसिष्णु प्रभविष्णु च ॥ १७ ॥,"Indivisible and yet existing in all beings, it appears divided. It is to be known as the sustainer of beings and also the devourer and creator."
18,ज्योतिषामपि तज्ज्योतिस्तमस: परमुच्यते ।ज्ञानं ज्ञेयं ज्ञानगम्यं हृदि सर्वस्य विष्ठितम् ॥ १८ ॥,"Even the light of lights, beyond darkness, is said to be the supreme knowledge, the knowable, the goal of knowledge, seated in the hearts of all."
19,इति क्षेत्रं तथा ज्ञानं ज्ञेयं चोक्तं समासत: ।मद्भ‍क्त एतद्विज्ञाय मद्भ‍ावायोपपद्यते ॥ १९ ॥,"Thus the field, knowledge, and the object to be known have been described succinctly. Knowing this, My devotee attains My nature."
20,प्रकृतिं पुरुषं चैव विद्ध्यनादी उभावपि ।विकारांश्च गुणांश्चैव विद्धि प्रकृतिसम्भवान् ॥ २० ॥,Know that both nature and the individual soul are without beginning. Understand that all transformations and qualities arise from nature.
21,कार्यकारणकर्तृत्वे हेतु: प्रकृतिरुच्यते ।पुरुष: सुखदु:खानां भोक्तृत्वे हेतुरुच्यते ॥ २१ ॥,"In the causality of work and cause, the cause is said to be nature. In the enjoyment of pleasure and pain, the enjoyer is said to be the individual."
22,पुरुष: प्रकृतिस्थो हि भुङ्क्ते प्रकृतिजान्गुणान् ।कारणं गुणसङ्गोऽस्य सदसद्योनिजन्मसु ॥ २२ ॥,"The individual, situated in material nature, experiences the modes born of material nature. Attachment to the modes is the cause of his birth in good and evil wombs."
23,उपद्रष्टानुमन्ता च भर्ता भोक्ता महेश्वर: ।परमात्मेति चाप्युक्तो देहेऽस्मिन्पुरुष: पर: ॥ २३ ॥,"The seer, the supporter, the enjoyer, the great lord, and the supreme self, also called the purusha, resides within this body."
24,य एवं वेत्ति पुरुषं प्रकृतिं च गुणै: सह ।सर्वथा वर्तमानोऽपि न स भूयोऽभिजायते ॥ २४ ॥,"He who understands the nature of the individual and the gunas together, even though engaged in all kinds of activities, does not become entangled."
25,ध्यानेनात्मनि पश्यन्ति केचिदात्मानमात्मना ।अन्ये सांख्येन योगेन कर्मयोगेन चापरे ॥ २५ ॥,Some perceive the self within themselves by meditation; others by the Sankhya yoga; and others by Karma yoga.
26,अन्ये त्वेवमजानन्त: श्रुत्वान्येभ्य उपासते ।तेऽपि चातितरन्त्येव मृत्युं श्रुतिपरायणा: ॥ २६ ॥,"Others, not knowing this, worship other gods after hearing of them. They also cross beyond death, being devoted to the rituals described in the scriptures."
27,यावत्सञ्जायते किञ्चित्सत्त्वं स्थावरजङ्गमम् ।क्षेत्रक्षेत्रज्ञसंयोगात्तद्विद्धि भरतर्षभ ॥ २७ ॥,"As long as there is a living being in this world, O Arjuna, know that it is a combination of the field and the knower of the field."
28,समं सर्वेषु भूतेषु तिष्ठन्तं परमेश्वरम् ।विनश्यत्स्वविनश्यन्तं य: पश्यति स पश्यति ॥ २८ ॥,He sees truly who sees the Supreme Lord existing equally in all beings that are perishable in the imperishable.
29,समं पश्यन्हि सर्वत्र समवस्थितमीश्वरम् ।न हिनस्त्यात्मनात्मानं ततो याति परां गतिम् ॥ २९ ॥,"Beholding the Lord equally present everywhere, one does not harm the self by the self. Thereby, one attains the highest goal."
30,प्रकृत्यैव च कर्माणि क्रियमाणानि सर्वश: ।य: पश्यति तथात्मानमकर्तारं स पश्यति ॥ ३० ॥,"Actions are performed by the body, mind, intellect, and senses of the individual, but he whose self is detached from all these actions, sees the reality."
31,यदा भूतपृथग्भावमेकस्थमनुपश्यति ।तत एव च विस्तारं ब्रह्म सम्पद्यते तदा ॥ ३१ ॥,"When one sees the variety of beings as abiding in the One, and spreading from That alone, then one attains Brahman."
32,अनादित्वान्निर्गुणत्वात्परमात्मायमव्यय: ।शरीरस्थोऽपि कौन्तेय न करोति न लिप्यते ॥ ३२ ॥,"Due to being unbeginning and attributeless, the Supreme Self is imperishable. Even though situated in the body, O Arjuna, it neither acts nor is tainted."
33,यथा सर्वगतं सौक्ष्म्यादाकाशं नोपलिप्यते ।सर्वत्रावस्थितो देहे तथात्मा नोपलिप्यते ॥ ३३ ॥,"Just as the all-pervading space is not tainted by any impurity, similarly the self, situated everywhere in the body, is not tainted."
34,यथा प्रकाशयत्येक: कृत्स्‍नं लोकमिमं रवि: ।क्षेत्रं क्षेत्री तथा कृत्स्‍नं प्रकाशयति भारत ॥ ३४ ॥,"As the sun illuminates the entire world, so does the soul illuminate the entire body, O Arjuna."
35,क्षेत्रक्षेत्रज्ञयोरेवमन्तरं ज्ञानचक्षुषा ।भूतप्रकृतिमोक्षं च ये विदुर्यान्ति ते परम् ॥ ३५ ॥,"Those who know the difference between the field and the knower of the field, along with knowledge, they attain liberation from material nature; such individuals reach the supreme."
