slokas_no,slokas,slokas_translated
1,अर्जुन उवाचएवं सततयुक्ता ये भक्तास्त्वां पर्युपासते ।ये चाप्यक्षरमव्यक्तं तेषां के योगवित्तमा: ॥ १ ॥,"Arjuna said: Those who constantly engage in your exclusive devotion and those who worship the imperishable and the unmanifested, which of them are better versed in yoga?"
2,श्रीभगवानुवाचमय्यावेश्य मनो ये मां नित्ययुक्ता उपासते ।श्रद्धया परयोपेतास्ते मे युक्ततमा मता: ॥ २ ॥,"The Blessed Lord said: Those who constantly engage their minds in Me and worship Me with great faith, they are considered by Me to be the most devoted."
3,ये त्वक्षरमनिर्देश्यमव्यक्तं पर्युपासते ।सर्वत्रगमचिन्त्यं च कूटस्थमचलं ध्रुवम् ॥ ३ ॥,"Those who worship the imperishable, the indefinable, the unmanifest, omnipresent, unthinkable, unchanging, immovable, and eternal."
4,सन्नियम्येन्द्रियग्रामं सर्वत्र समबुद्धय: ।ते प्राप्‍नुवन्ति मामेव सर्वभूतहिते रता: ॥ ४ ॥,"Regulating all the senses and fixing the mind on Me, they, devoted to the welfare of all beings, attain Me alone."
5,क्ल‍ेशोऽधिकतरस्तेषामव्यक्तासक्तचेतसाम् ।अव्यक्ता हि गतिर्दु:खं देहवद्भ‍िरवाप्यते ॥ ५ ॥,"For those whose minds are attached to the unmanifested, impersonal feature of the Supreme, advancement is very troublesome. To make progress in that discipline is always difficult for those who are embodied."
6,ये तु सर्वाणि कर्माणि मयि सन्न्यस्य मत्परा: ।अनन्येनैव योगेन मां ध्यायन्त उपासते ॥ ६ ॥,"But those who renounce all actions in Me, intent on Me as the Supreme, meditating on Me with an undistracted mind, worship Me."
7,तेषामहं समुद्धर्ता मृत्युसंसारसागरात् ।भवामि न चिरात्पार्थ मय्यावेशितचेतसाम् ॥ ७ ॥,"I am the deliverer from the ocean of birth and death for those whose minds are absorbed in Me, O Partha."
8,मय्येव मन आधत्स्व मयि बुद्धिं निवेशय ।निवसिष्यसि मय्येव अत ऊर्ध्वं न संशय: ॥ ८ ॥,"Fix your mind on Me alone, engage your intellect in Me. You will live in Me alone thereafter; of this there is no doubt."
9,अथ चित्तं समाधातुं न शक्न‍ोषि मयि स्थिरम् ।अभ्यासयोगेन ततो मामिच्छाप्‍तुं धनञ्जय ॥ ९ ॥,"Then, if you are unable to fix your mind steadily on Me, O Arjuna, seek to reach Me by the yoga of practice."
10,अभ्यासेऽप्यसमर्थोऽसि मत्कर्मपरमो भव ।मदर्थमपि कर्माणि कुर्वन्सिद्धिमवाप्स्यसि ॥ १० ॥,"""Even if you are unable to practice, be steadfast in the performance of actions for My sake. By working for Me, you will achieve success."" (Bhagavad Gita 12.10)"
11,अथैतदप्यशक्तोऽसि कर्तुं मद्योगमाश्रित: ।सर्वकर्मफलत्यागं तत: कुरु यतात्मवान् ॥ ११ ॥,"Therefore, you must also be unattached to performing your duty, O Dhananjaya. You should perform your prescribed duties with a focused mind, giving up attachment to success and failure."
12,श्रेयो हि ज्ञानमभ्यासाज्ज्ञानाद्ध्यानं विशिष्यते ।ध्यानात्कर्मफलत्यागस्त्यागाच्छान्तिरनन्तरम् ॥ १२ ॥,"Better indeed is knowledge than mechanical practice. Better than knowledge is meditation. But better still is surrender of attachment to results, because there follows immediate peace."
13,अद्वेष्टा सर्वभूतानां मैत्र: करुण एव च ।निर्ममो निरहङ्कार: समदु:खसुख: क्षमी ॥ १३ ॥,"Non-envious, friendly to all beings, compassionate, free from possessiveness and ego, balanced in pleasure and pain, forgiving."
14,सन्तुष्ट: सततं योगी यतात्मा दृढनिश्चय: ।मय्यर्पितमनोबुद्धिर्यो मद्भ‍क्त: स मे प्रिय: ॥ १४ ॥,"The satisfied Yogi, who is constantly disciplined, who has subdued the mind and has firm conviction, who has dedicated his mind and intellect to Me, he is dear to Me."
15,यस्मान्नोद्विजते लोको लोकान्नोद्विजते च य: ।हर्षामर्षभयोद्वेगैर्मुक्तो य: स च मे प्रिय: ॥ १५ ॥,"The one who does not disturb the world, and whom the world does not disturb; who is free from excitement, anger, fear, and anxiety; he is dear to me."
16,अनपेक्ष: श‍ुचिर्दक्ष उदासीनो गतव्यथ: ।सर्वारम्भपरित्यागी यो मद्भ‍क्त: स मे प्रिय: ॥ १६ ॥,"One who is unattached, pure, efficient, impartial, free from distress, renouncing all undertakings - such a devotee of Mine is dear to Me."
17,यो न हृष्यति न द्वेष्टि न शोचति न काङ्‍क्षति ।श‍ुभाश‍ुभपरित्यागी भक्तिमान्य: स मे प्रिय: ॥ १७ ॥,"One who does not rejoice, nor hate, nor grieve, nor desire, who renounces both good and evil, full of devotion, is dear to Me."
18,सम: शत्रौ च मित्रे च तथा मानापमानयो: ।शीतोष्णसुखदु:खेषु सम: सङ्गविवर्जित: ॥ १८ ॥,"One who is alike in honor and dishonor, alike to friend and foe, and who has abandoned all attachment to the results of actions, is said to have transcended duality."
19,तुल्यनिन्दास्तुतिर्मौनी सन्तुष्टो येन केनचित् ।अनिकेत: स्थिरमतिर्भक्तिमान्मे प्रियो नर: ॥ १९ ॥,"One who is indifferent to praise or blame, who remains silent, content with whatever comes, homeless, steady-minded, full of devotion - that person is dear to me."
20,ये तु धर्मामृतमिदं यथोक्तं पर्युपासते ।श्रद्दधाना मत्परमा भक्तास्तेऽतीव मे प्रिया: ॥ २० ॥,"But those who follow this immortal dharma as described above, with faith and devotion, they are exceedingly dear to Me."
