slokas_no,slokas,slokas_translated
1,सन्न्यासस्य महाबाहो तत्त्वमिच्छामि वेदितुम् ।त्यागस्य च हृषीकेश पृथक्केशिनिषूदन ॥ १ ॥,"O mighty-armed one, I wish to understand the true nature of renunciation, and also of relinquishment, O Hrishikesha, O Kesava."
2,काम्यानां कर्मणां न्यासं सन्न्यासं कवयो विदु: ।सर्वकर्मफलत्यागं प्राहुस्त्यागं विचक्षणा: ॥ २ ॥,The wise understand renunciation as giving up actions motivated by desire. They declare the relinquishment of the fruits of all actions to be true renunciation.
3,त्याज्यं दोषवदित्येके कर्म प्राहुर्मनीषिण: ।यज्ञदानतप:कर्म न त्याज्यमिति चापरे ॥ ३ ॥,"Some say that actions should be given up as faulty, while others say that sacrificial acts, charity, and austerity should not be abandoned."
4,निश्चयं श‍ृणु मे तत्र त्यागे भरतसत्तम ।त्यागो हि पुरुषव्याघ्र त्रिविध: सम्प्रकीर्तित: ॥ ४ ॥,"Listen to my determination regarding renunciation, O best of the Bharatas. Renunciation is declared to be of three kinds."
5,यज्ञदानतप:कर्म न त्याज्यं कार्यमेव तत् ।यज्ञो दानं तपश्चैव पावनानि मनीषिणाम् ॥ ५ ॥,"The acts of sacrifice, charity, and austerity should not be abandoned; rather, they should be performed. Indeed, sacrifice, charity, and austerity purify even the great souls."
6,एतान्यपि तु कर्माणि सङ्गं त्यक्त्वा फलानि च ।कर्तव्यानीति मे पार्थ निश्चितं मतमुत्तमम् ॥ ६ ॥,"Even these actions should be performed, giving up attachment and considering them as obligatory, O Arjuna. That is My highest and best opinion."
7,नियतस्य तु सन्न्यास: कर्मणो नोपपद्यते ।मोहात्तस्य परित्यागस्तामस: परिकीर्तित: ॥ ७ ॥,But renunciation of obligatory duties does not become proper for one who has not renounced attachment; the abandonment of such duty is declared to be due to delusion and is said to be in the nature of darkness.
8,दु:खमित्येव यत्कर्म कायक्ल‍ेशभयात्त्यजेत् ।स कृत्वा राजसं त्यागं नैव त्यागफलं लभेत् ॥ ८ ॥,One should give up work motivated by distress and attachment. Such renunciation should not be done with the intention of gaining the fruits of renunciation.
9,कार्यमित्येव यत्कर्म नियतं क्रियतेऽर्जुन ।सङ्गं त्यक्त्वा फलं चैव स त्याग: सात्त्विको मत: ॥ ९ ॥,"The work being done as duty, O Arjuna, with no attachment to the results, is considered renunciation in the mode of goodness."
10,न द्वेष्ट्यकुशलं कर्म कुशले नानुषज्ज‍ते ।त्यागी सत्त्वसमाविष्टो मेधावी छिन्नसंशय: ॥ १० ॥,"Hateful actions do not affect the skilled, nor do they cling to the skilled. The wise person, filled with equanimity, is free from doubt."
