Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Joking
"The Blessed Lord said: With your mind attached to Me, O Partha, practicing yoga and taking refuge in Me, you will undoubtedly know Me completely. Listen to how this can be achieved.",1,0,1,0,0,0,0,0,0,0
"I shall declare to you in full this knowledge along with wisdom, having known which, nothing more remains to be known in this world.",1,0,1,0,0,0,0,0,0,0
"Out of thousands of people, one strives for perfection; and among those who have achieved perfection, hardly one knows Me in truth.",0,0,0,1,0,1,0,0,0,0
"Earth, water, fire, air, space, mind, intellect, and ego—thus is My eightfold divided nature.",0,0,0,1,0,1,0,0,0,1
"This is inferior, but know my other nature, which is superior, O mighty-armed one, the living entities by which this world is sustained.",1,0,0,0,0,0,0,0,0,0
Understand that all beings have their origin in this. I am the source and dissolution of the entire universe.,1,0,0,0,0,0,0,0,0,0
"There is nothing whatsoever higher than Me, O Dhananjaya. All this is strung on Me like pearls on a thread.",0,0,0,1,0,1,1,0,0,1
"I am the taste in water, O Kaunteya, the light in the moon and the sun; I am the syllable Om in all the Vedas, sound in ether, and manhood in men.",1,0,0,0,0,0,0,0,0,1
"The fragrance in the earth is my virtue, and I am the brilliance in the fire. I am the life in all beings, and I am the austerity in those who practice austerity.",1,0,0,0,0,0,0,0,0,0
"Know me, O Partha, as the eternal seed of all beings. I am the intelligence of the intelligent, and the brilliance of the brilliant.",1,0,0,0,0,0,0,0,0,0
"I am strength devoid of desire and attachment in the strong; and, O best of the Bharatas, I am desire not conflicting with duty in beings.",1,0,1,0,0,0,0,0,0,0
"Know that all states of being—whether they are of the nature of goodness, passion, or ignorance—are manifested by Me alone. But I am not in them; they are in Me.",0,0,0,1,0,1,0,0,0,0
"The entire world is deluded by these three modes of nature; it does not know Me, who am beyond them and imperishable.",0,0,0,1,0,1,0,0,0,0
"This divine illusion of Mine, consisting of the modes, is difficult to overcome. But those who take refuge in Me alone can cross beyond this illusion.",1,0,0,0,0,1,0,0,0,0
"The miscreants, the foolish, and the lowest among mankind, whose knowledge is stolen by illusion and who partake of the demoniac nature, do not surrender unto Me.",0,0,0,1,0,1,1,0,0,0
"Four kinds of virtuous people worship Me, O Arjuna: the distressed, the inquisitive, the seeker of wealth, and the wise, O best of the Bharatas.",1,0,1,0,0,0,0,0,0,0
"Among them, the wise one who is constantly engaged and devoted to the One is considered the best. For I am exceedingly dear to the wise, and he is dear to Me.",1,0,0,0,0,0,0,0,0,0
"All these are indeed noble, but the one who is wise is considered as my very self. Being steadfast in mind, he is wholly devoted to me, the supreme goal.",1,0,0,0,0,0,0,0,0,0
"At the end of many births, the wise one surrenders to Me, realizing that Vāsudeva is everything. Such a great soul is very rare.",1,0,0,0,0,0,0,0,0,0
"Those whose knowledge is stolen by desires surrender to other gods, following various rules and rituals, constrained by their own nature.",1,0,1,1,0,0,0,0,0,0
"Whichever devotee desires to worship with faith whichever form, I make that very faith of his steady.",1,0,1,0,0,0,0,0,0,0
"Endowed with that faith, he engages in the worship of that deity and obtains his desires, which are indeed granted by Me. (22)",1,0,1,0,0,0,0,0,0,0
"The fruits of those with limited understanding are temporary. Those who worship the gods go to the gods, and my devotees come to me. (23)",0,0,1,0,0,0,0,0,0,0
"The unintelligent consider Me, the unmanifest, to have come into manifestation, not knowing My higher, immutable, and unsurpassed nature.",0,0,0,1,0,1,1,0,0,0
"I am not manifest to everyone, being covered by the yoga-maya. This deluded world does not know Me, the unborn and imperishable.",0,0,0,1,0,1,1,0,0,0
"I know all beings that have passed, are present, and are yet to come, O Arjuna; but no one knows Me.",0,0,0,1,0,1,0,0,0,0
"Arjuna, all beings are deluded at birth by the delusion of the pairs of opposites arising from desire and aversion.",0,0,0,1,0,0,1,0,0,0
"Those whose sins have come to an end, who are men of virtuous deeds, freed from the delusion of dualities, they worship Me with firm resolve.",1,0,1,0,0,0,0,0,0,0
"For liberation from old age and death, those who strive by taking refuge in Me, they know the complete Brahman, the entire Adhyatma, and all action.",1,0,1,0,0,0,0,0,0,0
"Those who know me as the Supreme Being in relation to the physical world, the divine, and the sacrifice, they, with minds steadfast, know me even at the time of death.",1,0,1,0,0,0,0,0,0,0
