Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Joking
"The Blessed Lord said: He who performs his duty without depending on the fruits of action is both a renunciant and a yogi, not the one without fire and without action.",0,0,1,0,0,0,1,0,0,0
"The renunciation that they speak of, know that to be yoga, O Pandava. For without renouncing desires, no one becomes a yogi.",0,0,0,1,0,1,1,0,0,0
"For a sage who desires to ascend to yoga, action is said to be the cause. For the same person who has attained yoga, tranquility is said to be the cause.",1,0,0,0,0,0,0,0,0,0
"When one is not attached to the objects of the senses or to actions, and has renounced all intentions, then one is said to be established in yoga.",1,0,0,1,0,0,0,0,0,0
"One should uplift oneself by one's own self; one should not degrade oneself. Indeed, the self alone is one's friend, the self alone is one's enemy.",0,0,0,0,0,1,1,0,0,0
"For one who has conquered the self by the self, the self is a friend. But for one who has not conquered the self, the self remains like an enemy.",1,0,0,0,0,1,0,0,0,0
"For one who has conquered the self and is serene, the Supreme Self is steady in cold and heat, pleasure and pain, as well as in honor and dishonor.",1,0,1,0,0,0,0,0,0,0
"The yogi who is satisfied with knowledge and wisdom, who is unshakable, who has conquered the senses, and who regards a clod of earth, a stone, and gold as the same is said to be well-established in yoga.",1,0,0,0,0,0,1,0,0,0
"One who is equal-minded among friends, companions, enemies, the indifferent, mediators, the hateful, relatives, the righteous, and even the sinful is distinguished.",0,0,0,0,0,1,1,0,0,0
"The yogi should constantly engage the self in meditation, remaining in solitude, alone, with controlled mind and body, free from desires and possessions.",1,0,1,0,0,0,0,0,0,0
"In a clean place, establish a firm seat for oneself, not too high, not too low, covered with cloth, deerskin, and kusha grass.",1,0,0,0,0,0,0,0,0,0
"There, having made the mind one-pointed, with controlled thought and senses, one should sit on a seat and practice yoga for self-purification.",1,0,0,0,0,0,0,0,0,1
"Holding the body, head, and neck straight and steady, gazing at the tip of one's nose, and not looking in any other direction.",1,0,0,0,0,0,0,0,0,1
"With a tranquil mind, free from fear, established in the vow of celibacy, having controlled the mind, with thoughts fixed on Me, the devotee should sit, intent on Me.",1,0,1,0,0,0,0,0,0,0
