Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Joking
"O mighty-armed one, O Lord of the senses, I wish to know the truth of renunciation, O Lord of the senses, O Lord of the senses separately.  ॥",1,0,1,0,0,0,0,0,0,0
The learned men describe the renunciation of all the fruits of all activities and renounce the fruits of all living entities.  ॥,1,0,1,0,0,0,0,0,0,0
"Some learned men say that one should give up such a defect. Others say that one should perform sacrifices, charity and austerities.  ॥",0,0,1,0,0,0,0,0,0,0
"O best of men, O best of men, I have now described to you in three ways, O best of men. .",1,0,0,0,0,0,0,0,0,1
"Sacrifices, charity and austerities are not to be performed for the wise men who perform sacrifices, charity and austerities.  ॥",0,0,1,0,0,0,1,0,0,0
"O son of Partha, I have certainly considered this to be the best of these activities, O Arjuna, for they have abandoned their attachment and their fruits.  ॥",1,0,0,1,0,0,1,0,0,0
"When one is deluded by delusion, one should renounce the renunciation of the activities of the Supreme Personality of Godhead.  ॥",0,0,1,0,0,0,0,0,0,0
"One who gives up the fear of the body of the body is the same as suffering, and he who performs the Rajasic renunciation will not attain the fruits of renunciation.  ॥",0,0,1,0,0,0,0,0,0,0
"O Arjuna, whatever action is performed as a duty is considered to be the mode of goodness, and renunciation of attachment is considered to be Sattvic. .",1,0,1,0,0,0,0,0,0,0
A person who is intelligent and who is endowed with the modes of goodness is not hated by the skilled persons nor does he have a good act of renunciation. .,1,0,0,0,0,0,1,0,0,0
It is not possible to give up the fruits of their actions in the entire world as a renunciant of the living entities. .,0,0,0,1,0,0,1,1,0,0
"There are three kinds of fruits of action, which are undesirable, undesirable, mixed with the renunciants of the renunciants, but never for the renounced.  ॥",0,0,0,1,0,1,1,0,0,0
"O mighty-armed one, please hear from me the five kinds of reasons for the perfection of all actions.  ॥",1,0,1,0,0,0,0,0,0,0
"The fifth is the position of the adhiṣṭhāna, the doer, the karana, the various types, the various movements, the destiny and the destiny.  ॥",0,0,1,0,0,0,0,0,0,0
"The five causes of the body, speech, mind, mind, mind, mind and other activities are justified or reversed.  ॥",1,0,1,0,0,0,0,0,0,0
