sentence_no,text
1,"Another world, another world, another world has emerged! Step forward, step backward! Let's go, let's go up!"
2,"Winds blowing, words flowing, hearts roaring - step forward, haven't we witnessed another world's deluge?"
3,"With doors wide open, the locks undone, tending to needs step forward! Let the boats sail, let the banks break, let's cross the barriers! Like rivers, forests, hills, which way do our steps lead?"
4,"Step forward! Step backward! Let's go, let's go up! With the youth scattered, age renewed, like summers! Beware! With brave hearts, and strong warriors, aren't we like soldiers! Come on! Haro! Haro Har! Har! Har! Har! Har! Haro Hara! say! Another world, the great world has sprung from the earth! Step forward, step backward! Like a prism, let it disperse! Let emotions spread swiftly! Like storm clouds announcing disaster, step loudly! Step, step, step forward! Haven't we heard another world's roaring fire?"
5,"Rising, rising, rising are the mountains of grains! Turning, turning, turning are the ocean waves performing their deluge dance! Is this a relentless rage? No, it's the warm red dawn! Oh, Shiva's ocean, please recede! Recede now! Step forward! Step backward! Another world's golden city has fallen silent!"
6,"Like spears, like flames, march like Arjuna! Haven't we seen the blazing fires of another world, the red flames, the fiery blazes?"
7,"Another world, another world, another world has emerged! Step forward, step backward! Let's go, let's go up!"
8,"Winds blowing, words flowing, hearts roaring - step forward, haven't we witnessed another world's deluge?"
9,"With doors wide open, the locks undone, tending to needs step forward! Let the boats sail, let the banks break, let's cross the barriers! Like rivers, forests, hills, which way do our steps lead?"
10,"Step forward! Step backward! Let's go, let's go up! With the youth scattered, age renewed, like summers! Beware! With brave hearts, and strong warriors, aren't we like soldiers! Come on! Haro! Haro Har! Har! Har! Har! Har! Haro Hara! say! Another world, the great world has sprung from the earth! Step forward, step backward! Like a prism, let it disperse! Let emotions spread swiftly! Like storm clouds announcing disaster, step loudly! Step, step, step forward! Haven't we heard another world's roaring fire?"
11,"Tidal waves, tidal waves, tidal waves are coming, measuring in hundreds of lakhs! Returning, returning, returning, the seas are performing a dance of floods! Is this the roaring of waves? No, it's the boiling of hot blood! Oh, the ocean of Shiva, is it a new island? Step forward! Step forward! Take a step! Another world's bell has rung, it has stopped ringing!"
12,"Like the trails, like the reeds, march like Dhanañjaya! Or is it the roaring of another world's fire, the thundering of red flames, the sizzling of blazing fires?"
13,"I have offered myself to the world's fire as fuel! I have become a tear for the world's rain! I have become a mote of dust for the earth's noise!"
14,"When the time ends, the sky will not cry like a dove!"
15,"In the rainy season, does the water not flow? In the cold season, can the bird not build its nest, can the crane not dance?"
16,"When I close my eyes - moonlit nights, cloudy skies, golden sands fall on the earth!"
17,"From above, I see the colors of the rainbow dance, fade away as the stars twinkle!"
18,"The flowers have withered, the nightingales have gone silent, a great flood engulfs the world!"
19,"When I close my eyes, I disappear, my shadow spreads like a mirage, the world seems like waves!"
20,"I am the white heron for the world's fire! I am the formula for the world's rain! I am the bee for the earth's noise!"
21,"I have offered myself to the world's fire as fuel! I have become a tear for the world's rain! I have become a mote of dust for the earth's noise!"
22,"When the time ends, the sky will not cry like a dove!"
23,"In the rainy season, does the water not flow? In the cold season, can the bird not build its nest, can the crane not dance?"
24,"When I close my eyes - moonlit nights, cloudy skies, golden sands fall on the earth!"
25,"From above, I see the colors of the rainbow dance, fade away as the stars twinkle!"
26,"The flowers have withered, the nightingales have gone silent, a great flood engulfs the world!"
27,"When I close my eyes, I disappear, my shadow spreads like a mirage, the world seems like waves!"
28,"I am the white heron for the world's fire! I am the formula for the world's rain! I am the bee for the earth's noise!"
29,"The sky stands still, making me afraid - the full moon's light frightens me!"
30,"The sky's walls are broken, look! This rain is coming like a storm!"
31,"The winds that couldn't be seen are merciful; amidst the earth and sky, it's festival time!"
32,"Whipping, roaring waves of the ocean! The dark clouds do not disperse!"
33,"In the sky's playground, clouds play hide and seek like children!"
34,"The universe stands still, like a fallen sky - the bright full moon frightens me!"
35,"The universe stands still, like a frozen moment - the bright full moon frightens me!"
36,"In the sky's umbrella, unexpected! This rain dances like a sword's edge!"
37,"The winds that couldn't be seen are merciful; amidst the earth and sky, it's festival time!"
