"sentence no","text"
1,"તમસ સૂવરને ઓરડીની અંદર લાવવું એ પણ કયાં સહેલું કામ હતું ? એણે ભટકતાં સૂવરને કચરામાં મોં ધાલતાં જોયાં હતાં."
2,"એને બીજુ કાંઈ ન સૂઝ્યું. એક ઉકરડા પરથી કચરો ઉઠાવી ઉઠાવીને લાવતો રહ્યો અને આ ભાંગી-તૂટી ઓરડીની બહાર આંગણામાં દરવાજા પાસે કચરાનો ઢગલો કરતો રહ્યો."
3,"સાંજના પડછાયા નમવા લાગ્યા ત્યારે ગંદા પાણીનાં ખાબોચિયાં, છાણના ઢગલા અને ધૂળથી ભરેલી ઝાડીઓની પાસે ફરતાં ત્રણ સૂવર એ બાજુ આવી પહોંચ્યાં હતાં."
4,"ત્યારે જ એમાંનું એક સૂવર કચરો સૂંઘતું આંગણાની અંદર આવી ગયું હતું અને નત્યૂએ ઝટ લઈને બારણું બંધ કરી દીધું હતું."
5,"પછી ઝડપથી દોડીને એણે આંગણાની પેલે પાર ઓરડીનો દરવાજો ખોલી દીધો હતો, અને પોતાની લાઠીથી સૂવરને ઓરડીની અંદર હાંકી લાવ્યો હતો."
6,"સૂવરવાડાનો માણસ સૂવરને શોધતો ક્યાંક એ બાજુ ન આવી જાય, અને સૂવરની કિકિયારી સાંભળી ન લે એ બીકે નત્થૂ કચરો ઉપાડી ઉપાડીને ઓરડીમાં નાખતો રહ્યો હતો."
7,"ઓરડીમાં કચરો પહોંચી ગયો એટલે સૂવર એમાં જ ખોવાઈ ગયું અને નત્થૂ આશ્ચસ્ત થઈને ઘણી વાર સુધી ઓરડીની બહાર બેસીને બીડીઓ ફક્‌કતો અને અંધારું થાય એની વાટ જોતો રહ્યો હતો."
8,"ઘણી વાર પછી રાત ધેરાવા લાગી ત્યારે નત્થૂ ઓરડીમાં ઘૂસ્યો હતો. દીવાના મધ્યમ નાચતા અજવાળામાં એણે જોયું કે કચરો આખી ઓરડીમાં વિખેરાઈ ગયો છે."
9,"અને એમાંથી કોચડ જેવી સડેલી વાસ આવે છે. ત્યારે જ એ ભારેખમ બદસૂરત સૂવરને જોઈને એનું દિલ બેસી ગયું હતું અને મનમાં ને મનમાં ખિજાવા-પસ્તાવા લાગ્યો હતો કે એણે આ ગંદુ જોખમભરેલું કામ શા સારુ માથે લીધું."
10,"ત્યારેય એને મન થઈ આવ્યું હતું કે ઝટ દઈને ઓરડીનો દરવાજો ખોલી દઉં અને સૂવરને બહાર ધકેલી દઉ."
11,"હવે રાત અર્ધાથી વધારે વૌતી ચૂકો હતી અને સૂવર એમનું એમ કચરાની વચ્ચોવચ અલમસ્ત ધૂમી રહ્યું હતું."
12,"ભોંય પર લોહીના ડાઘા પડી ગયા હતા, અને સૂવરની ફાંદ પર બે-એક ઠેકાણે ઉઝરડા જેવાં નિશાન દેખાતાં હતાં અને એની પોતાની ટાંગ પર સૂવરના ડાચાના જખમ હતા અને બસ."
13,"સૂવર પહેલાંની જેમ જ જીવતું જાગતું ઓરડીની અંદર મોજૂદ હતું. જયારે નત્થૂ હાંફો રહ્યો હતો."
14,"એનું શરીર પરસેવે તરબોળ હતું અને આ ઝંઝટમાંથી નીકળવાનો કોઈ રસ્તો દેખાતો નહોતો. દૂર શેખોના બાગના ઘડિયાળમાં બેના ટકોરા પડ્યા."
15,"નત્થૂ ગભરાઈને ઊભો થઈ ગયો. એની નજર ફરી સૂવર ભણી ગઈ. સૂવરે કચરાના ટુકડાની વચ્ચે ઊભા ઊભા ફરી પેશાબ કરી દીધો હતો."
