slokas_no,slokas,slokas_english
1,धृतराष्ट्र उवाचधर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सव: ।मामका: पाण्डवाश्चैव किमकुर्वत सञ्जय ॥ १ ॥,"Translated(src=sa, dest=en, text=Dhṛtarāṣṭra said: O Sanjaya, what did the Pāṇḍavas and the Pāṇḍavas do with their festivities assembled in the field of Kurukṣetra in the field of Dharma?1 ॥, pronunciation=None, extra_data=""{'confiden..."")"
2,सञ्जय उवाचदृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा ।आचार्यमुपसङ्गम्य राजा वचनमब्रवीत् ॥ २ ॥,"Translated(src=sa, dest=en, text=Sanjaya saw the army of the Pāṇḍavas arranged in a battlefield and the king approached the ācārya and addressed him as follows2 ॥, pronunciation=None, extra_data=""{'confiden..."")"
3,पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् ।व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ॥ ३ ॥,"Translated(src=sa, dest=en, text=O teacher look at this great army of the sons of Pāṇḍu by your wise disciple the son of Drupada3 ॥, pronunciation=None, extra_data=""{'confiden..."")"
4,अत्र श‍ूरा महेष्वासा भीमार्जुनसमा युधि ।युयुधानो विराटश्च द्रुपदश्च महारथः ॥ ४ ॥,"Translated(src=sa, dest=en, text=Here the great archer Bhima and Arjuna were equal to Bhima and Arjuna in battle Virata and Drupada the great charioteer4., pronunciation=None, extra_data=""{'confiden..."")"
5,धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् ।पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः ॥ ५ ॥,"Translated(src=sa, dest=en, text=Dhrishtaketu and Chekitana were the mighty king of Kāśī and the mighty Purujit Kuntibhoja5 ॥, pronunciation=None, extra_data=""{'confiden..."")"
6,युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् ।सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः ॥ ६ ॥,"Translated(src=sa, dest=en, text=Yudhamanyu and Vikranta Uttamauja were the mighty Saubhadra and Draupadi and all the great charioteers6 ॥, pronunciation=None, extra_data=""{'confiden..."")"
7,अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम ।नायका मम सैन्यस्य संज्ञार्थ तान्ब्रवीमि ते ॥ ७ ॥,"Translated(src=sa, dest=en, text=O best of the brāhmaṇas listen to those who are distinct from us7 ॥, pronunciation=None, extra_data=""{'confiden..."")"
8,भवान्भीष्मश्च कर्णश्च कृपश्च समितिंजयः ।अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च ॥ ८ ॥,"Translated(src=sa, dest=en, text=You are Bhishma Karna Kripa Samitinjaya Ashvatthama Vikarna and also Saumadatti8 ॥, pronunciation=None, extra_data=""{'confiden..."")"
9,अन्ये च बहवः श‍ूरा मदर्थे त्यक्तजीविताः ।नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः ॥ ९ ॥,"Translated(src=sa, dest=en, text=Many other brave men gave up their lives for My sake They were all experts in warfare9., pronunciation=None, extra_data=""{'confiden..."")"
10,अपर्याप्त‍ं तदस्माकं बलं भीष्माभिरक्षितम् ।पर्याप्त‍ं त्विदमेतेषां बलं भीमाभिरक्षितम् ॥ १० ॥,"Translated(src=sa, dest=en, text=This is the strength of ours protected by Bhīma and protected by Bhīma10., pronunciation=None, extra_data=""{'confiden..."")"
