sentence_no,text
1," మరో ప్రపంచం,  మరో ప్రపంచం,  మరో ప్రపంచం పిలిచింది!  పదండి ముందుకు,  పదండి త్రోసుకు!  పోదాం, పోదాం పైపైకి!"
2," కదం త్రొక్కుతూ,  పదం పాడుతూ,  హ్రుదంతరాళం గర్జిస్తూ-  పదండి పోదాం,  వినబడలేదా  మరో ప్రపంచపు జలపాతం?"
3," దారిపొడుగునా గుండె నెత్తురులు  తర్పణ చేస్తూ పదండి ముందుకు!  బాటలు నడచీ,  పేటలు కడచీ,  కోటలన్నిటిని దాటండి!  నదీ నదాలూ,  అడవులు, కొండలు,  ఎడారులా మన కడ్డంకి?"
4," పదండి ముందుకు!  పదండి త్రోసుకు!  పోదాం, పోదాం, పైపైకి!  ఎముకులు క్రుళ్ళిన,  వయస్సు మళ్ళిన  సోమరులారా! చావండి!  నెత్తురు మండే,  శక్తులు నిండే,  సైనికులారా! రారండి!  “హరోం! హరోం హర!  హర! హర! హర! హర!  హరోం హరా!” అని కదలండి!  మరో ప్రపంచం,  మహా ప్రపంచం  ధరిత్రినిండా నిండింది!  పదండి ముందుకు,  పదండి త్రోసుకు!  ప్రభంజనంవలె హోరెత్తండీ!  భావ వేగమున ప్రసరించండీ!  వర్షుకాభ్రముల ప్రళయఘోషవలె  పెళ పెళ పెళ పెళ విరుచుకు పడండి!  పదండి,  పదండి,  పదండి ముందుకు!  కనబడలేదా మరో ప్రపంచపు  కణకణమండే త్రేతాగ్ని?"
5," ఎగిరి, ఎగిరి, ఎగిరి పడుతున్నవి  ఎనభై లక్షల మేరువులు!  తిరిగి, తిరిగి, తిరిగి సముద్రాల్  జలప్రళయ నాట్యం చేస్తున్నవి!  సలసలక్రాగే చమురా? కాదిది  ఉష్ణరక్త కాసారం!  శివసముద్రమూ,  నయాగరావలె  ఉరకండీ! ఉరకండీ ముందుకు!  పదండి ముందుకు!  పదండి త్రోసుకు!  మరో ప్రపంచపు కంచు నగారా  విరామ మెరుగక మ్రోగింది!"
6," త్రాచులవలెనూ,  రేచులవలనూ,  ధనంజయునిలా సాగండి!  కనబడలేదా మరో ప్రపంచపు  అగ్నికిరీటపు ధగధగలు,  ఎర్రబావుటా నిగనిగలు,  హోమజ్వాలల భుగభుగలు?"
7,"మరో ప్రపంచం,  మరో ప్రపంచం,  మరో ప్రపంచం పిలిచింది!  పదండి ముందుకు,  పదండి త్రోసుకు!  పోదాం, పోదాం పైపైకి!"
8,"కదం త్రొక్కుతూ,  పదం పాడుతూ,  హ్రుదంతరాళం గర్జిస్తూ-  పదండి పోదాం,  వినబడలేదా  మరో ప్రపంచపు జలపాతం?"
9,"దారిపొడుగునా గుండె నెత్తురులు  తర్పణ చేస్తూ పదండి ముందుకు!  బాటలు నడచీ,  పేటలు కడచీ,  కోటలన్నిటిని దాటండి!  నదీ నదాలూ,  అడవులు, కొండలు,  ఎడారులా మన కడ్డంకి?"
10,"పదండి ముందుకు!  పదండి త్రోసుకు!  పోదాం, పోదాం, పైపైకి!  ఎముకులు క్రుళ్ళిన,  వయస్సు మళ్ళిన  సోమరులారా! చావండి!  నెత్తురు మండే,  శక్తులు నిండే,  సైనికులారా! రారండి!  “హరోం! హరోం హర!  హర! హర! హర! హర!  హరోం హరా!” అని కదలండి!  మరో ప్రపంచం,  మహా ప్రపంచం  ధరిత్రినిండా నిండింది!  పదండి ముందుకు,  పదండి త్రోసుకు!  ప్రభంజనంవలె హోరెత్తండీ!  భావ వేగమున ప్రసరించండీ!  వర్షుకాభ్రముల ప్రళయఘోషవలె  పెళ పెళ పెళ పెళ విరుచుకు పడండి!  పదండి,  పదండి,  పదండి ముందుకు!  కనబడలేదా మరో ప్రపంచపు  కణకణమండే త్రేతాగ్ని?"
11,"ఎగిరి, ఎగిరి, ఎగిరి పడుతున్నవి  ఎనభై లక్షల మేరువులు!  తిరిగి, తిరిగి, తిరిగి సముద్రాల్  జలప్రళయ నాట్యం చేస్తున్నవి!  సలసలక్రాగే చమురా? కాదిది  ఉష్ణరక్త కాసారం!  శివసముద్రమూ,  నయాగరావలె  ఉరకండీ! ఉరకండీ ముందుకు!  పదండి ముందుకు!  పదండి త్రోసుకు!  మరో ప్రపంచపు కంచు నగారా  విరామ మెరుగక మ్రోగింది!"
12,"త్రాచులవలెనూ,  రేచులవలనూ,  ధనంజయునిలా సాగండి!  కనబడలేదా మరో ప్రపంచపు  అగ్నికిరీటపు ధగధగలు,  ఎర్రబావుటా నిగనిగలు,  హోమజ్వాలల భుగభుగలు?"
13,"నేను సైతం  ప్రపంచాగ్నికి  సమిధ నొక్కటి ఆహుతిచ్చాను!నేను సైతం  విశ్వ వృష్టికి  అశ్రువొక్కటి ధారపోశాను! నేను సైతం  భువన ఘోషకు  వెర్రి గొంతుక విచ్చి మ్రోశాను!"
14,"ఎండ కాలం మండినప్పుడు  గబ్బిలం వలె  క్రాగి పోలేదా!"
15," వాన కాలం ముసరి రాగా  నిలువు నిలువున  నీరు కాలేదా?  శీత కాలం కోత పెట్టగ  కొరడు కట్టీ,  ఆకలేసీ కేక లేశానే!"
16," నే నొకణ్ణీ  నిల్చిపోతే-  చండ్ర గాడ్పులు, వాన మబ్బులు, మంచు సోనలు  భూమి మీదా  భుగ్న మౌతాయి!"
17," నింగినుండీ తొంగి చూసే  రంగు రంగుల చుక్కలన్నీ  రాలి, నెత్తురు క్రక్కుకుంటూ  పేలిపోతాయి!"
18," పగళ్ళన్నీ పగిలిపోయీ,  నిశీధాలూ విశీర్ణిల్లీ,  మహా ప్రళయం జగం నిండా  ప్రగల్భిస్తుంది!"
19," నే నొక్కణ్ణి ధాత్రినిండా  నిండి పోయీ,  నా కుహూరత శీకరాలే  లోకమంతా జల్లులాడే  ఆ ముహుర్తా లాగమిస్తాయి!"
20,"నేను సైతం  ప్రపంచాబ్జపు  తెల్ల రేకై పల్లవిస్తాను!  నేను సైతం  విశ్వవీణకు  తంత్రినై మూర్ఛనలు పోతాను! నేను సైతం  భువన భవనపు  బావుటానై పైకి లేస్తాను!"
21,"నేను సైతం  ప్రపంచాగ్నికి  సమిధ నొక్కటి ఆహుతిచ్చాను!నేను సైతం  విశ్వ వృష్టికి  అశ్రువొక్కటి ధారపోశాను! నేను సైతం  భువన ఘోషకు  వెర్రి గొంతుక విచ్చి మ్రోశాను!"
22,"ఎండ కాలం మండినప్పుడు  గబ్బిలం వలె  క్రాగి పోలేదా!"
23,"వాన కాలం ముసరి రాగా  నిలువు నిలువున  నీరు కాలేదా?  శీత కాలం కోత పెట్టగ  కొరడు కట్టీ,  ఆకలేసీ కేక లేశానే!"
24,"నే నొకణ్ణీ  నిల్చిపోతే-  చండ్ర గాడ్పులు, వాన మబ్బులు, మంచు సోనలు  భూమి మీదా  భుగ్న మౌతాయి!"
25,"నింగినుండీ తొంగి చూసే  రంగు రంగుల చుక్కలన్నీ  రాలి, నెత్తురు క్రక్కుకుంటూ  పేలిపోతాయి!"
26,"పగళ్ళన్నీ పగిలిపోయీ,  నిశీధాలూ విశీర్ణిల్లీ,  మహా ప్రళయం జగం నిండా  ప్రగల్భిస్తుంది!"
27,"నే నొక్కణ్ణి ధాత్రినిండా  నిండి పోయీ,  నా కుహూరత శీకరాలే  లోకమంతా జల్లులాడే  ఆ ముహుర్తా లాగమిస్తాయి!"
