slokas_no,slokas,slokas_translated
1,अर्जुन उवाचज्यायसी चेत्कर्मणस्ते मता बुद्धिर्जनार्दन ।तत्किं कर्मणि घोरे मां नियोजयसि केशव ॥ १ ॥,"Arjuna said: ""If, O Janardana, my intellect considers your advice to be the better course of action, then why, O Keshava (Krishna), do you urge me into this terrible task?"" 
"
2,व्यामिश्रेणेव वाक्येन बुद्धिं मोहयसीव मे ।तदेकं वद निश्चित्य येन श्रेयोऽहमाप्‍नुयाम् ॥ २ ॥,"""You confuse my mind with these mixed words. Tell me decisively, one thing, by which I might attain the highest good."" 


"
3,श्रीभगवानुवाचलोकेऽस्मिन्द्विविधा निष्ठा पुरा प्रोक्ता मयानघ ।ज्ञानयोगेन सांख्यानां कर्मयोगेन योगिनाम् ॥ ३ ॥,"The Blessed Lord said: ""O sinless one, in this world, two paths of devotion have been declared by me: the path of knowledge for the Sankhyas, and the path of action for the Yogis."" 


"
4,न कर्मणामनारम्भान्नैष्कर्म्य पुरुषोऽश्न‍ुते ।न च सन्न्यसनादेव सिद्धिं समधिगच्छति ॥ ४ ॥,"""A person does not attain liberation by merely abstaining from all actions, nor does he attain perfection by renouncing actions alone."" 


"
5,न हि कश्चित्क्षणमपि जातु तिष्ठत्यकर्मकृत् ।कार्यते ह्यवशः कर्म सर्वः प्रकृतिजैर्गुणैः ॥ ५ ॥,"""Indeed, no one remains even for a moment without performing some action, for everyone is compelled by the qualities of nature to act."" 


"
6,कर्मेन्द्रियाणि संयम्य य आस्ते मनसा स्मरन् ।इन्द्रियार्थान्विमूढात्मा मिथ्याचारः स उच्यते ॥ ६ ॥,"""One who restrains the organs of action, but whose mind dwells upon sense objects, deluded by their attractions, is called a hypocrite."" 


"
7,यस्त्विन्द्रियाणि मनसा नियम्यारभतेऽर्जुन ।कर्मेन्द्रियैः कर्मयोगमसक्तः स विशिष्यते ॥ ७ ॥,"""But one who, with his mind, controls his senses, and, unattached to the fruits of action, engages in activity through the organs of action, is superior."" 


"
8,नियतं कुरु कर्म त्वं कर्म ज्यायो ह्यकर्मणः ।शरीरयात्रापि च ते न प्रसिद्ध्येदकर्मणः ॥ ८ ॥,"""Perform your duty steadfastly, for action is superior to inaction. Even the maintenance of your body cannot be accomplished without action."" 


"
9,यज्ञार्थात्कर्मणोऽन्यत्र लोकोऽयं कर्मबन्धनः ।तदर्थं कर्म कौन्तेय मुक्तसङ्गः समाचर ॥ ९ ॥,"""This world is bound by action performed for other purposes than sacrifice (Yajna). Therefore, O Kauteya, perform action with detachment, for the sake of sacrifice (Yajna)."" 




"
10,सहयज्ञाः प्रजाः सृष्ट्वा पुरोवाच प्रजापतिः ।अनेन प्रसविष्यध्वमेष वोऽस्त्विष्टकामधुक् ॥ १० ॥,"""Creating beings along with sacrifice, the Lord of Creatures (Prajapati) said to them: 'By this, prosper; this is your wish-granting cow.'"" 


"
