slokas_no,slokas,slokas_translated
1,श्रीभगवानुवाचइदं तु ते गुह्यतमं प्रवक्ष्याम्यनसूयवे ।ज्ञानं विज्ञानसहितं यज्ज्ञात्वा मोक्ष्यसेऽश‍ुभात् ॥ १ ॥,"The Blessed Lord said: I shall now declare to you, who are free from envy, this most secret knowledge, which is combined with wisdom and by knowing which you will be liberated from evil. 




"
2,राजविद्या राजगुह्यं पवित्रमिदमुत्तमम् ।प्रत्यक्षावगमं धर्म्यं सुसुखं कर्तुमव्ययम् ॥ २ ॥,"This is the royal science, the royal secret, most pure, the best, directly perceived, righteous, very easy to practice, and imperishable. 






"
3,अश्रद्दधाना: पुरुषा धर्मस्यास्य परन्तप ।अप्राप्य मां निवर्तन्ते मृत्युसंसारवर्त्मनि ॥ ३ ॥,"O chastiser of foes, those men who are faithless in this Dharma, without attaining Me, return again to the path of death and rebirth.  
"
4,मया ततमिदं सर्वं जगदव्यक्तमूर्तिना ।मत्स्थानि सर्वभूतानि न चाहं तेष्ववस्थित: ॥ ४ ॥,"This entire universe is pervaded by Me, in My unmanifest form. All beings are in Me, but I am not in them. 


"
5,न च मत्स्थानि भूतानि पश्य मे योगमैश्वरम् ।भूतभृन्न च भूतस्थो ममात्मा भूतभावन: ॥ ५ ॥,"Nor are beings in Me, behold My divine Yoga.  Though the support of beings, and though dwelling in beings, My Self is the sustainer of beings.
"
6,यथाकाशस्थितो नित्यं वायु: सर्वत्रगो महान् ।तथा सर्वाणि भूतानि मत्स्थानीत्युपधारय ॥ ६ ॥,"Just as the great wind, dwelling in the sky, pervades everywhere, so know that all beings are in Me. 




"
7,सर्वभूतानि कौन्तेय प्रकृतिं यान्ति मामिकाम् ।कल्पक्षये पुनस्तानि कल्पादौ विसृजाम्यहम् ॥ ७ ॥,"O son of Kunti, all beings enter My nature at the end of a kalpa, and at the beginning of a kalpa I send them forth again. 




"
8,प्रकृतिं स्वामवष्टभ्य विसृजामि पुन: पुन: ।भूतग्राममिमं कृत्स्नमवशं प्रकृतेर्वशात् ॥ ८ ॥,"Holding on to My own nature, I send forth this entire group of beings again and again. This entire group of beings is controlled by My nature. 






"
9,न च मां तानि कर्माणि निबध्‍नन्ति धनञ्जय ।उदासीनवदासीनमसक्तं तेषु कर्मसु ॥ ९ ॥,"Those actions do not bind Me, O Dhananjaya, for I remain indifferent, detached from those actions. 




"
10,मयाध्यक्षेण प्रकृति: सूयते सचराचरम् ।हेतुनानेन कौन्तेय जगद्विपरिवर्तते ॥ १० ॥,"By Me, as the Supreme Lord, nature is activated, both the moving and unmoving. O son of Kunti, this world revolves by this cause. 










"
11,अवजानन्ति मां मूढा मानुषीं तनुमाश्रितम् ।परं भावमजानन्तो मम भूतमहेश्वरम् ॥ ११ ॥,"Fools, deluded by My human form, despise Me, not knowing My supreme divine nature and My lordship over all beings. 






"
12,मोघाशा मोघकर्माणो मोघज्ञाना विचेतस: ।राक्षसीमासुरीं चैव प्रकृतिं मोहिनीं श्रिता: ॥ १२ ॥,"Those with vain hopes, vain actions, and vain knowledge, deluded by their minds, are attached to the demonic and Asuric nature, which deludes. 




"
13,महात्मानस्तु मां पार्थ दैवीं प्रकृतिमाश्रिता: ।भजन्त्यनन्यमनसो ज्ञात्वा भूतादिमव्ययम् ॥ १३ ॥,"But those great souls, O Partha, who have taken refuge in My divine nature, worship Me with unwavering minds, knowing that I am the origin and the imperishable of all beings. 






"
14,सततं कीर्तयन्तो मां यतन्तश्च दृढव्रता: ।नमस्यन्तश्च मां भक्त्य‍ा नित्ययुक्ता उपासते ॥ १४ ॥,"Constantly chanting My name, striving with firm resolve, bowing down to Me with devotion, and always united with Me, they worship Me. 


"
15,ज्ञानयज्ञेन चाप्यन्ये यजन्तो मामुपासते ।एकत्वेन पृथक्त्वेन बहुधा विश्वतोमुखम् ॥ १५ ॥,"Others worship Me by offering knowledge as sacrifice, with a single-minded devotion, with diverse forms, and from all sides. 






"
