slokas_no,slokas,slokas_translated
1,धृतराष्ट्र उवाचधर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सव: ।मामका: पाण्डवाश्चैव किमकुर्वत सञ्जय ॥ १ ॥,"King Dhritarashtra said, ""On the field of righteousness, the Kurukshetra, the warriors are assembled, eager for battle. Tell me, Sanjaya, what are my sons and the Pandavas doing?"" 
"
2,सञ्जय उवाचदृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा ।आचार्यमुपसङ्गम्य राजा वचनमब्रवीत्  ॥  २ ॥,"Sanjaya said, ""Seeing the Pandava army arrayed, Duryodhana approached his teacher and spoke these words."" 
"
3,पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् ।व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ॥ ३ ॥,"""Look, O teacher, at this mighty army of the sons of Pandu, arrayed by your brilliant disciple, the son of Drupada."" 
"
4,अत्र श‍ूरा महेष्वासा भीमार्जुनसमा युधि ।युयुधानो विराटश्च द्रुपदश्च महारथः ॥ ४ ॥,"""Here are mighty heroes, strong in archery, like Bhima and Arjuna in battle: Yuyudhana, Virata, and the great warrior Drupada."" 
"
5,धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् ।पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः ॥ ५ ॥,"""Dhrishtaketu, Chekitana, the valiant king of Kashi, Purujit, Kunti-bhoja, and the best of men, Saibya."" 
"
6,युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् ।सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः ॥ ६ ॥,"""Yudhamanyu, the valiant, the strong and powerful Uttamaujas, the son of Subhadra, the sons of Draupadi, all great warriors."" 
"
7,अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम ।नायका मम सैन्यस्य संज्ञार्थ तान्ब्रवीमि ते ॥ ७ ॥,"""But, O best of Brahmanas, know those who are distinguished among us, the leaders of my army. I will tell you their names."" 
"
8,भवान्भीष्मश्च कर्णश्च कृपश्च समितिंजयः ।अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च ॥ ८ ॥,"""Bhishma, Karna, Kripa, the conqueror of enemies, Aswatthama, Vikarna, and also Saumadatti."" 


"
9,अन्ये च बहवः श‍ूरा मदर्थे त्यक्तजीविताः ।नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः ॥ ९ ॥,"""And many other brave warriors, who have given up their lives for my sake.  They are all skilled in warfare, wielding various weapons."" 
"
10,अपर्याप्त‍ं तदस्माकं बलं भीष्माभिरक्षितम् ।पर्याप्त‍ं त्विदमेतेषां बलं भीमाभिरक्षितम् ॥ १० ॥,"""Our army, though protected by Bhishma, is insufficient. But this army of theirs, protected by Bhima, is sufficient."" 
"
11,अयनेषु च सर्वेषु यथाभागवमस्थिताः ।भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि ॥ ११ ॥,"""Let all of you, according to your respective divisions, be stationed in all the formations. Protect Bhishma, all of you."" 
"
12,तस्य सञ्जनयन्हर्षं कुरुवृद्धः पितामहः ।सिंहनादं विनद्योच्च‍ैः शङ्खं दध्मौ प्रतापवान् ॥ १२ ॥,"""To gladden Sanjaya, the grandsire of the Kuru lineage, the mighty Bhishma, roaring like a lion, blew his conch."" 
"
13,ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः ।सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् ॥ १३ ॥,"""Then, conch shells, kettle-drums, tabors, and trumpets, all were sounded at once, and a tremendous uproar arose."" 
"
14,ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ ।माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः ॥ १४ ॥,"""Then, seated in their great chariots drawn by white steeds, Madhava (Krishna) and the son of Pandu (Arjuna) blew their divine conch shells."" 


"
15,पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः ।पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः ॥ १५ ॥,"""Hrishikesha (Krishna) blew the Panchajanya, Dhananjaya (Arjuna) the Devadatta, and the mighty Bhimakarma (Bhima) blew the Paundra."" 
"
16,अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः ।नकुलः सहदेवश्च सुघोषमणिपुष्पकौ ॥ १६ ॥,"""The king, the son of Kunti, Yudhisthira, blew the Anantavijaya. Nakula and Sahadeva blew the Sughosa and the Manipushpaka respectively."" 
"
17,काश्यश्च परमेष्वास: शिखण्डी च महारथ: ।धृष्टद्युम्न‍ो विराटश्च सात्यकिश्‍चापराजित: ॥ १७ ॥,"""Kashiraja (King of Kashi), the supreme archer, Shikhandi, the great warrior, Dhristadyumna, Virata, and the unconquerable Satyaki."" 
"
18,द्रुपदो द्रौपदेयाश्च सर्वश: पृथिवीपते ।सौभद्रश्च महाबाहु: शङ्खान्दध्मु: पृथक्पृथक् ॥ १८ ॥,"""Drupada, the sons of Draupadi, all the kings of the earth, and the mighty-armed son of Subhadra, each blew their own conch shells."" 
"
19,स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् ।नभश्च पृथिवीं चैव तुमुलोऽभ्यनुनादयन् ॥ १९ ॥,"""That sound pierced the hearts of the Kauravas, and resounded loudly through the sky and the earth."" 
"
20,अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान्कपिध्वजः ।प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डवः ।हृषीकेशं तदा वाक्यमिदमाह महीपते ॥ २० ॥,"""Seeing the Kauravas arrayed in battle formation, Arjuna, with the banner of a monkey, took up his bow as the weapons were about to clash. Then, he spoke these words to Hrishikesha (Krishna), the lord of the earth."" 
"
21,अर्जुन उवाचसेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत ।यावदेतान्निरीक्षेऽहं योद्‍धुकामानवस्थितान् ॥ २१ ॥,"Arjuna said: ""O Achyuta (Krishna), place my chariot between the two armies, so that I may view these warriors who are eager to fight."" 
"
22,कैर्मया सह योद्धव्यमस्मिन्‍रणसमुद्यमे ॥ २२ ॥,"""Who, along with me, must be fought in this battle."" 


"
23,योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः ।धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः ॥ २३ ॥,"""I wish to see those who have gathered here to fight, who are desirous of pleasing the wicked Duryodhana in this battle."" 
"
24,सञ्जय उवाचएवमुक्तो हृषीकेशो गुडाकेशेन भारत ।सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् ॥ २४ ॥,"Sanjaya said: ""Thus addressed by Gudakesha (Arjuna), Hrishikesha (Krishna), the best of charioteers, placed his chariot between the two armies."" 
"
25,भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम्  ।उवाच पार्थ पश्यैतान्समवेतान्कुरुनिति ॥ २५ ॥,"""And seeing Bhishma, Drona, and all the kings assembled there, Krishna said to Partha (Arjuna): 'See, here are the assembled Kurus.'"" 
"
26,तत्रापश्यत्स्थितान्पार्थः पितॄनथ पितामहान्।आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा।श्वश‍ुरान्सुहृदश्चैव सेनयोरुभयोरपि ॥ २६ ॥,"""There, Arjuna saw his fathers, grandfathers, teachers, uncles, brothers, sons, grandsons, friends, fathers-in-law, and well-wishers on both sides of the army."" 


"
27,तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान्  ।कृपया परयाविष्टो विषीदन्निदमब्रवीत् ॥ २७ ॥,"""Seeing them all, the sons of Kunti, overwhelmed with compassion, became sorrowful and spoke these words."" 
"
28,अर्जुन उवाचदृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम्  ।सीदन्ति मम गात्राणि मुखं च परिश‍ुष्यति ॥ २८ ॥,"Arjuna said: ""O Krishna, seeing this kin of mine, eager to fight, standing before me, my limbs tremble and my mouth dries up."" 
"
29,वेपथुश्च शरीरे मे रोमहर्षश्च जायते ।गाण्डीवं स्रंसते हस्तात्त्वक्च‍ैव परिदह्यते ॥ २९ ॥,"""My body trembles, and my hair stands on end. My bow Gandiva slips from my hand, and my skin burns."" 


"
30,न च शक्न‍ोम्यवस्थातुं भ्रमतीव च मे मनः ।निमित्तानि च पश्यामि विपरीतानि केशव ॥ ३० ॥,"""I am unable to stand, and my mind seems to wander. O Keshava (Krishna), I see adverse omens."" 
"
31,न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे ।न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च ॥ ३१ ॥,"""I do not see any benefit in slaying my own kin in battle. Nor do I desire victory, Krishna, nor dominion, nor happiness."" 


"
32,किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा ।येषामर्थे काङ्‍‍क्षितं नो राज्यं भोगाः सुखानि च ॥ ३२  ॥,"""What is the use of a kingdom, O Govinda, what is the use of pleasures, what is the use of life itself, for the sake of whom we desire kingdom, pleasures, and happiness?"" 
"
33,त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च ।आचार्याः पितरः पुत्रास्तथैव च पितामहाः ॥ ३3॥,"""These, standing in battle, have abandoned their lives and their wealth: teachers, fathers, sons, and grandfathers."" 


"
34,मातुलाः श्वश‍ुराः पौत्राः श्यालाः सम्बन्धिनस्तथा ।एतान्न हन्तुमिच्छामि घ्न‍तोऽपि मधुसूदन ॥ ३४ ॥,"""Uncles, fathers-in-law, grandsons, brothers-in-law, and other relatives—even if they are killing me, I do not wish to slay them, O Madhusudana (Krishna)."" 


"
35,अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते ।निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्ज‍नार्दन ॥ ३५ ॥,"""Even for the sake of the sovereignty of the three worlds, what happiness would I have, O Janardana (Krishna), by killing the Kauravas?"" 




"
36,पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः ।तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्सबान्धवान् ।स्वजनं हि कथं हत्वा सुखिनः स्याम माधव ॥ ३६ ॥,"""By killing these aggressors, we would incur sin. Therefore, we are not worthy of killing the Kauravas, all our kinsmen. How can we, O Madhava, be happy by slaying our own people?"" 
"
37,यद्यप्येते न पश्यन्ति लोभोपहतचेतसः ।कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम् ॥ ३७,"""Although these men, blinded by greed, do not see the sin of destroying their family, and the crime of betraying friends..."" 


"
38,॥कथं न ज्ञेयमस्माभिः पापादस्मन्निवर्तितुम् ।कुलक्षयकृतं दोषं प्रपश्यद्भ‍िर्जनार्दन ॥ ३८ ॥,"""...How can we, O Janardana, who see the sin of destroying our family, not know how to turn away from it?"" 


"
