slokas_no,slokas,slokas_translated
1,सन्न्यासस्य महाबाहो तत्त्वमिच्छामि वेदितुम् ।त्यागस्य च हृषीकेश पृथक्केशिनिषूदन ॥ १ ॥,"Arjuna said: ""O mighty-armed one, O Hrishikesha, O slayer of Keshi, I wish to know the true nature of renunciation (sannyāsa) and the true nature of relinquishment (tyāga)."" 











"
2,काम्यानां कर्मणां न्यासं सन्न्यासं कवयो विदु: ।सर्वकर्मफलत्यागं प्राहुस्त्यागं विचक्षणा: ॥ २ ॥,"""The wise say that the relinquishment of actions driven by desire is called sannyāsa (renunciation). The wise say that the relinquishment of the fruits of all actions is called tyāga (relinquishment)."" 





 




"
3,त्याज्यं दोषवदित्येके कर्म प्राहुर्मनीषिण: ।यज्ञदानतप:कर्म न त्याज्यमिति चापरे ॥ ३ ॥,"""Some wise people say actions that are tainted with defects should be renounced. Others say that actions of sacrifice, charity, and austerity should not be renounced."" 





 




"
4,निश्चयं श‍ृणु मे तत्र त्यागे भरतसत्तम ।त्यागो हि पुरुषव्याघ्र त्रिविध: सम्प्रकीर्तित: ॥ ४ ॥,"“O best of the Bharatas, O tiger among men, hear from me about the settled conclusion on relinquishment. Relinquishment is of three kinds, as I will now describe.” 




 






"
5,यज्ञदानतप:कर्म न त्याज्यं कार्यमेव तत् ।यज्ञो दानं तपश्चैव पावनानि मनीषिणाम् ॥ ५ ॥,"""Actions of sacrifice, charity, and austerity should not be renounced; they are to be performed. Sacrifice, charity, and austerity are purifying for the wise."" 





 






"
6,एतान्यपि तु कर्माणि सङ्गं त्यक्त्वा फलानि च ।कर्तव्यानीति मे पार्थ निश्चितं मतमुत्तमम् ॥ ६ ॥,"""But these actions (sacrifice, charity, and austerity) should be performed, O Partha, renouncing attachment and the fruits of action. This is My settled conclusion, the best way."" 





 






"
7,नियतस्य तु सन्न्यास: कर्मणो नोपपद्यते ।मोहात्तस्य परित्यागस्तामस: परिकीर्तित: ॥ ७ ॥,"""But the renunciation of actions that are prescribed is not proper. The relinquishment of prescribed actions out of delusion is considered to be in the mode of ignorance."" 





 






"
8,दु:खमित्येव यत्कर्म कायक्ल‍ेशभयात्त्यजेत् ।स कृत्वा राजसं त्यागं नैव त्यागफलं लभेत् ॥ ८ ॥,"“He who renounces an action out of fear of bodily pain or suffering, performs a rajasic renunciation, and he does not receive the fruits of renunciation.” 





 








"
9,कार्यमित्येव यत्कर्म नियतं क्रियतेऽर्जुन ।सङ्गं त्यक्त्वा फलं चैव स त्याग: सात्त्विको मत: ॥ ९ ॥,"“O Arjuna,  action that is prescribed by the scriptures should be performed,  giving up attachment and the fruits of action. This renunciation is considered sattvic."" 





 






"
10,न द्वेष्ट्यकुशलं कर्म कुशले नानुषज्ज‍ते ।त्यागी सत्त्वसमाविष्टो मेधावी छिन्नसंशय: ॥ १० ॥,"""He who neither hates evil nor desires good, the renounced one, who is established in sattva, who is intelligent, and whose doubts are dispelled."" 


 




"
11,न हि देहभृता शक्यं त्यक्तुं कर्माण्यशेषत: ।यस्तु कर्मफलत्यागी स त्यागीत्यभिधीयते ॥ ११ ॥,"“No one who is embodied can give up all actions completely. But he who renounces the fruits of action is called a renunciant.” 







"
12,अनिष्टमिष्टं मिश्रं च त्रिविधं कर्मण: फलम् ।भवत्यत्यागिनां प्रेत्य न तु सन्न्यासिनां क्‍वचित् ॥ १२ ॥,"""For those who renounce, the fruits of action, whether unpleasant, pleasant, or mixed, are experienced after death, but never for those who have renounced."" 





 






"
13,पञ्चैतानि महाबाहो कारणानि निबोध मे ।सांख्ये कृतान्ते प्रोक्तानि सिद्धये सर्वकर्मणाम् ॥ १३ ॥,"""O mighty-armed one, now hear from Me the five causes that are described in the Sankhya philosophy for the success of all actions.” 




 


"
14,अधिष्ठानं तथा कर्ता करणं च पृथग्विधम् ।विविधाश्च पृथक्‍चेष्टा दैवं चैवात्र पञ्चमम् ॥ १४ ॥,"""The field of action, the doer, the instruments, diverse kinds of effort, and destiny, these five are the causes.""  









"
