slokas_no,slokas,slokas_translated
1,अर्जुन उवाचये शास्त्रविधिमुत्सृज्य यजन्ते श्रद्धयान्विता: ।तेषां निष्ठा तु का कृष्ण सत्त्वमाहो रजस्तम: ॥ १ ॥,"Arjuna said: Those who abandon the customs of the scriptures and perform sacrifices with faith, what is their devotion to them?  ॥"
2,श्रीभगवानुवाचत्रिविधा भवति श्रद्धा देहिनां सा स्वभावजा ।सात्त्विकी राजसी चैव तामसी चेति तां श‍ृणु ॥ २ ॥,"The Supreme Personality of Godhead, the Supreme Personality of Godhead, has three kinds of faith in the embodied beings, and that is the mode of goodness, which is in the mode of goodness, Rajasic, Rajasic and Tamasic.  ॥"
3,सत्त्वानुरूपा सर्वस्य श्रद्धा भवति भारत ।श्रद्धामयोऽयं पुरुषो यो यच्छ्रद्ध: स एव स: ॥ ३ ॥,"O descendant of Bharata, the Supreme Personality of Godhead, who is full of faith, is the same as the Supreme Personality of Godhead.  ॥"
4,यजन्ते सात्त्विका देवान्यक्षरक्षांसि राजसा: ।प्रेतान्भूतगणांश्चान्ये यजन्ते तामसा जना: ॥ ४ ॥,"The modes of material nature, the modes of material nature, the demigods, the rakshasas, the modes of nature, the modes of material nature and other demigods worship the demigods and other demigods. ."
5,अशास्त्रविहितं घोरं तप्यन्ते ये तपो जना: ।दम्भाहङ्कारसंयुक्ता: कामरागबलान्विता: ॥ ५ ॥,Those who are engaged in austerities without the scriptures and who are endowed with pride and egoism and who are endowed with lust and passion.
6,कर्षयन्त: शरीरस्थं भूतग्राममचेतस: ।मां चैवान्त: शरीरस्थं तान्विद्ध्यासुरनिश्चयान् ॥ ६ ॥,They were drawn from the body of the living entities in the body of the living entities and the minds of the demons were drawn from the body of the demon
7,आहारस्त्वपि सर्वस्य त्रिविधो भवति प्रिय: ।यज्ञस्तपस्तथा दानं तेषां भेदमिमं श‍ृणु ॥ ७ ॥,"Food is the most dear to everyone. There are three kinds of foodstuffs, such as sacrifice, austerity and charity. Hear this difference between them.  ॥"
8,आयु:सत्त्वबलारोग्यसुखप्रीतिविवर्धना: ।रस्या: स्‍निग्धा: स्थिरा हृद्या आहारा: सात्त्विकप्रिया: ॥ ८ ॥,"They are the sources of life, strength, health, happiness, pleasure and enhance the tastes of all kinds of tastes, steady, steady, hearts and foodstuffs.  ॥"
9,कट्‌वम्ललवणात्युष्णतीक्ष्णरूक्षविदाहिन: ।आहारा राजसस्येष्टा दु:खशोकामयप्रदा: ॥ ९ ॥,"The foods of the mode of passion are bitter, acidic, salty, extremely hot, sharp, bitter and burning. These foods are desired by the mode of passion. They cause pain, lamentation and disease.  ॥"
10,यातयामं गतरसं पूति पर्युषितं च यत् ।उच्छिष्टमपि चामेध्यं भोजनं तामसप्रियम् ॥ १० ॥,The food that is cleansed of the taste is cleansed and the food is cleansed and the food is unclean and the food is dear to the darkness. .
