slokas_no,slokas,slokas_translated
1.0,श्रीभगवानुवाचमय्यासक्तमना: पार्थ योगं युञ्जन्मदाश्रय: ।असंशयं समग्रं मां यथा ज्ञास्यसि तच्छृणु ॥ १ ॥,"The Supreme Personality of Godhead said: O son of Pṛthā, please hear from Me as I am attached to Me, O son of Pṛthā.   "
2.0,ज्ञानं तेऽहं सविज्ञानमिदं वक्ष्याम्यशेषत: ।यज्ज्ञात्वा नेह भूयोऽन्यज्ज्ञातव्यमवशिष्यते ॥ २ ॥,"I shall now explain to you in detail about the knowledge of the Vedas, which are known to you in detail.   "
3.0,मनुष्याणां सहस्रेषु कश्चिद्यतति सिद्धये ।यततामपि सिद्धानां कश्चिन्मां वेत्ति तत्त्वत: ॥ ३ ॥,"Someone in the thousands of human beings strives for perfection, and some of the perfected persons know Me in fact.   "
4.0,भूमिरापोऽनलो वायु: खं मनो बुद्धिरेव च ।अहङ्कार इतीयं मे भिन्ना प्रकृतिरष्टधा ॥ ४ ॥,"The earth, water, fire, air, sky and intelligence are divided into eight parts, namely, egoism and egoism. ."
5.0,अपरेयमितस्त्वन्यां प्रकृतिं विद्धि मे पराम् ।जीवभूतां महाबाहो ययेदं धार्यते जगत् ॥ ५ ॥,"O mighty-armed one, know that this universe is the ultimate nature of myself, the living entity, the living entity, the living entity and the living entity.   "
6.0,एतद्योनीनि भूतानि सर्वाणीत्युपधारय ।अहं कृत्स्नस्य जगत: प्रभव: प्रलयस्तथा ॥ ६ ॥,"Please understand that all living entities are the sources of all living entities, and I am the source of all living entities and dissolution.   "
7.0,मत्त: परतरं नान्यत्किञ्चिदस्ति धनञ्जय ।मयि सर्वमिदं प्रोतं सूत्रे मणिगणा इव ॥ ७ ॥,"O Arjuna there is nothing better than Me, O Arjuna, for all this is strung in the thread like clusters of gems.   "
8.0,रसोऽहमप्सु कौन्तेय प्रभास्मि शशिसूर्ययो: ।प्रणव: सर्ववेदेषु शब्द: खे पौरुषं नृषु ॥ ८ ॥,"O son of Kunti, I am the radiance in the waters, and I am the light of the moon, the sun and the sun.   "
9.0,पुण्यो गन्ध: पृथिव्यां च तेजश्चास्मि विभावसौ ।जीवनं सर्वभूतेषु तपश्चास्मि तपस्विषु ॥ ९ ॥,I am pious and fragrance on the earth and I am the effulgence of fire and I am the life of all living beings and I am the austerities of all living beings. .
10.0,बीजं मां सर्वभूतानां विद्धि पार्थ सनातनम् ।बुद्धिर्बुद्धिमतामस्मि तेजस्तेजस्विनामहम् ॥ १० ॥,"O son of Pṛthā, know Me to be the eternal seed of all living entities. ."
11.0,बलं बलवतां चाहं कामरागविवर्जितम् ।धर्माविरुद्धो भूतेषु कामोऽस्मि भरतर्षभ ॥ ११ ॥,O best of the Bharatas I am the strength of the strong and devoid of lust and passion for all living entities. .
12.0,ये चैव सात्त्विका भावा राजसास्तामसाश्च ये ।मत्त एवेति तान्विद्धि न त्वहं तेषु ते मयि ॥ १२ ॥,"I am not in Me, but I am not in Me.   "
13.0,त्रिभिर्गुणमयैर्भावैरेभि: सर्वमिदं जगत् ।मोहितं नाभिजानाति मामेभ्य: परमव्ययम् ॥ १३ ॥,"The entire universe is deluded by these three modes of nature, which is deluded by these three modes of nature.   "
14.0,दैवी ह्येषा गुणमयी मम माया दुरत्यया ।मामेव ये प्रपद्यन्ते मायामेतां तरन्ति ते ॥ १४ ॥,"My illusory energy is insurmountable to me, for those who take refuge in Me alone, the illusory energy of Me alone, protect me.   "
15.0,न मां दुष्कृतिनो मूढा: प्रपद्यन्ते नराधमा: ।माययापहृतज्ञाना आसुरं भावमाश्रिता: ॥ १५ ॥,"Those who are fools and who have taken away their knowledge of the demons, who have taken refuge in the demoniac nature, do not take refuge in Me.   "
16.0,चतुर्विधा भजन्ते मां जना: सुकृतिनोऽर्जुन ।आर्तो जिज्ञासुरर्थार्थी ज्ञानी च भरतर्षभ ॥ १६ ॥,"O Arjuna, O best of the Bhāratas, I am in distress, inquisitive and seeking wealth.   "
17.0,तेषां ज्ञानी नित्ययुक्त एकभक्तिर्विशिष्यते ।प्रियो हि ज्ञानिनोऽत्यर्थमहं स च मम प्रिय: ॥ १७ ॥,The wise are ever engaged in devotional service and one is the most dear to the wise. I am very dear to the wise. He is dear to Me. .
18.0,उदारा: सर्व एवैते ज्ञानी त्वात्मैव मे मतम् ।आस्थित: स हि युक्तात्मा मामेवानुत्तमां गतिम् ॥ १८ ॥,"All these are generous to Me, and I think that the self is self-controlled.   "
