slokas_no,slokas,slokas_translated
1,अर्जुन उवाचएवं सततयुक्ता ये भक्तास्त्वां पर्युपासते ।ये चाप्यक्षरमव्यक्तं तेषां के योगवित्तमा: ॥ १ ॥,"Arjuna said: Those devotees who, ever steadfast, thus worship You, and those who worship the imperishable and the unmanifested — which of them are better versed in Yoga?"
2,श्रीभगवानुवाचमय्यावेश्य मनो ये मां नित्ययुक्ता उपासते ।श्रद्धया परयोपेतास्ते मे युक्ततमा मता: ॥ २ ॥,"The Blessed Lord said: Those who, having fixed their mind on Me, worship Me, ever steadfast and endowed with supreme faith, are considered by Me to be the most united in yoga."
3,ये त्वक्षरमनिर्देश्यमव्यक्तं पर्युपासते ।सर्वत्रगमचिन्त्यं च कूटस्थमचलं ध्रुवम् ॥ ३ ॥,"Those who worship the imperishable, indefinable, unmanifest, all-pervading, inconceivable, unchanging, immovable, and eternal..."
4,सन्नियम्येन्द्रियग्रामं सर्वत्र समबुद्धय: ।ते प्राप्‍नुवन्ति मामेव सर्वभूतहिते रता: ॥ ४ ॥,"Having restrained all the senses, being of even mind everywhere, they, devoted to the welfare of all beings, attain Me alone."
5,क्ल‍ेशोऽधिकतरस्तेषामव्यक्तासक्तचेतसाम् ।अव्यक्ता हि गतिर्दु:खं देहवद्भ‍िरवाप्यते ॥ ५ ॥,The difficulty is greater for those whose minds are attached to the unmanifest; for the goal of the unmanifest is attained with suffering by the embodied.
6,ये तु सर्वाणि कर्माणि मयि सन्न्यस्य मत्परा: ।अनन्येनैव योगेन मां ध्यायन्त उपासते ॥ ६ ॥,"Those who, dedicating all actions to Me, regarding Me as the Supreme, meditate on Me with exclusive devotion through undivided yoga, they worship Me."
7,तेषामहं समुद्धर्ता मृत्युसंसारसागरात् ।भवामि न चिरात्पार्थ मय्यावेशितचेतसाम् ॥ ७ ॥,"I am the deliverer from the ocean of death and rebirth for those whose minds are absorbed in Me, O Partha, and I become so without delay."
8,मय्येव मन आधत्स्व मयि बुद्धिं निवेशय ।निवसिष्यसि मय्येव अत ऊर्ध्वं न संशय: ॥ ८ ॥,"Fix your mind on Me alone, place your intellect in Me; thereafter you will dwell in Me alone, without doubt."
9,अथ चित्तं समाधातुं न शक्न‍ोषि मयि स्थिरम् ।अभ्यासयोगेन ततो मामिच्छाप्‍तुं धनञ्जय ॥ ९ ॥,"If you are unable to fix your mind steadily on Me, then seek to attain Me through the practice of yoga, O Dhananjaya (Arjuna)."
10,अभ्यासेऽप्यसमर्थोऽसि मत्कर्मपरमो भव ।मदर्थमपि कर्माणि कुर्वन्सिद्धिमवाप्स्यसि ॥ १० ॥,"If you are unable to practice, be intent on performing actions for me. By performing actions for my sake, you will attain perfection."
11,अथैतदप्यशक्तोऽसि कर्तुं मद्योगमाश्रित: ।सर्वकर्मफलत्यागं तत: कुरु यतात्मवान् ॥ ११ ॥,"If you are unable to do even this, then taking refuge in union with Me, renounce the fruits of all actions with a controlled mind."
12,श्रेयो हि ज्ञानमभ्यासाज्ज्ञानाद्ध्यानं विशिष्यते ।ध्यानात्कर्मफलत्यागस्त्यागाच्छान्तिरनन्तरम् ॥ १२ ॥,"Better indeed is knowledge than practice; than knowledge, meditation is more esteemed. Than meditation, the renunciation of the fruits of actions; after renunciation, peace follows immediately."
13,अद्वेष्टा सर्वभूतानां मैत्र: करुण एव च ।निर्ममो निरहङ्कार: समदु:खसुख: क्षमी ॥ १३ ॥,"Non-envious towards all beings, friendly and compassionate, free from attachment and ego, even-minded in pain and pleasure, forgiving."
14,सन्तुष्ट: सततं योगी यतात्मा दृढनिश्चय: ।मय्यर्पितमनोबुद्धिर्यो मद्भ‍क्त: स मे प्रिय: ॥ १४ ॥,"The one who is content, constantly practicing yoga, self-controlled, with firm determination, whose mind and intellect are dedicated to me, such a devotee is dear to me."
15,यस्मान्नोद्विजते लोको लोकान्नोद्विजते च य: ।हर्षामर्षभयोद्वेगैर्मुक्तो य: स च मे प्रिय: ॥ १५ ॥,"He by whom the world is not disturbed and who is not disturbed by the world, who is free from joy, anger, fear, and anxiety, he is dear to Me."
16,अनपेक्ष: श‍ुचिर्दक्ष उदासीनो गतव्यथ: ।सर्वारम्भपरित्यागी यो मद्भ‍क्त: स मे प्रिय: ॥ १६ ॥,"Free from desires, pure, skilled, impartial, free from distress, and renouncing all undertakings—such a devotee of mine is dear to me."
17,यो न हृष्यति न द्वेष्टि न शोचति न काङ्‍क्षति ।श‍ुभाश‍ुभपरित्यागी भक्तिमान्य: स मे प्रिय: ॥ १७ ॥,"He who neither rejoices nor hates, neither grieves nor desires, who renounces both good and evil, full of devotion, he is dear to Me."
18,सम: शत्रौ च मित्रे च तथा मानापमानयो: ।शीतोष्णसुखदु:खेषु सम: सङ्गविवर्जित: ॥ १८ ॥,"The same in enemy and friend, and also in honor and dishonor; the same in cold, heat, pleasure, and pain; free from attachment."
19,तुल्यनिन्दास्तुतिर्मौनी सन्तुष्टो येन केनचित् ।अनिकेत: स्थिरमतिर्भक्तिमान्मे प्रियो नर: ॥ १९ ॥,"A person who is equanimous in praise and blame, silent, content with anything, without attachment to a home, firm in mind, and full of devotion is dear to me."
20,ये तु धर्मामृतमिदं यथोक्तं पर्युपासते ।श्रद्दधाना मत्परमा भक्तास्तेऽतीव मे प्रिया: ॥ २० ॥,"Those who, with faith and devotion, follow this nectar of righteousness as declared, making Me their supreme goal, are exceedingly dear to Me."
