slokas_no,slokas,slokas_translated
1,श्रीभगवानुवाचअनाश्रित: कर्मफलं कार्यं कर्म करोति य: ।स सन्न्यासी च योगी च न निरग्न‍िर्न चाक्रिय: ॥ १ ॥,"The Blessed Lord said: He who performs his duty without depending on the fruits of action is both a renunciant and a yogi, not the one without fire and without action."
2,यं सन्न्यासमिति प्राहुर्योगं तं विद्धि पाण्डव ।न ह्यसन्न्यस्तसङ्कल्पो योगी भवति कश्चन ॥ २ ॥,"The renunciation that they speak of, know that to be yoga, O Pandava. For without renouncing desires, no one becomes a yogi."
3,आरुरुक्षोर्मुनेर्योगं कर्म कारणमुच्यते ।योगारूढस्यतस्यैव शम: कारणमुच्यते ॥ ३ ॥,"For a sage who desires to ascend to yoga, action is said to be the cause. For the same person who has attained yoga, tranquility is said to be the cause."
4,यदा हि नेन्द्रियार्थेषु न कर्मस्वनुषज्ज‍ते ।सर्वसङ्कल्पसन्न्यासी योगारूढस्तदोच्यते ॥ ४ ॥,"When one is not attached to the objects of the senses or to actions, and has renounced all intentions, then one is said to be established in yoga."
5,उद्धरेदात्मनात्मानं नात्मानमवसादयेत् ।आत्मैव ह्यात्मनो बन्धुरात्मैव रिपुरात्मन: ॥ ५ ॥,"One should uplift oneself by one's own self; one should not degrade oneself. Indeed, the self alone is one's friend, the self alone is one's enemy."
6,बन्धुरात्मात्मनस्तस्य येनात्मैवात्मना जित: ।अनात्मनस्तु शत्रुत्वे वर्तेतात्मैव शत्रुवत् ॥ ६ ॥,"For one who has conquered the self by the self, the self is a friend. But for one who has not conquered the self, the self remains like an enemy."
7,जितात्मन: प्रशान्तस्य परमात्मा समाहित: ।शीतोष्णसुखदु:खेषु तथा मानापमानयो: ॥ ७ ॥,"For one who has conquered the self and is serene, the Supreme Self is steady in cold and heat, pleasure and pain, as well as in honor and dishonor."
8,ज्ञानविज्ञानतृप्‍तात्मा कूटस्थो विजितेन्द्रिय: ।युक्त इत्युच्यते योगी समलोष्ट्राश्मकाञ्चन: ॥ ८ ॥,"The yogi who is satisfied with knowledge and wisdom, who is unshakable, who has conquered the senses, and who regards a clod of earth, a stone, and gold as the same is said to be well-established in yoga."
9,सुहृन्मित्रार्युदासीनमध्यस्थद्वेष्यबन्धुषु ।साधुष्वपि च पापेषु समबुद्धिर्विशिष्यते ॥ ९ ॥,"One who is equal-minded among friends, companions, enemies, the indifferent, mediators, the hateful, relatives, the righteous, and even the sinful is distinguished."
10,योगी युञ्जीत सततमात्मानं रहसि स्थित: ।एकाकी यतचित्तात्मा निराशीरपरिग्रह: ॥ १० ॥,"The yogi should constantly engage the self in meditation, remaining in solitude, alone, with controlled mind and body, free from desires and possessions."
11,श‍ुचौ देशे प्रतिष्ठाप्य स्थिरमासनमात्मन: ।नात्युच्छ्रितं नातिनीचं चैलाजिनकुशोत्तरम् ॥ ११ ॥,"In a clean place, establish a firm seat for oneself, not too high, not too low, covered with cloth, deerskin, and kusha grass."
12,तत्रैकाग्रं मन: कृत्वा यतचित्तेन्द्रियक्रिय ।उपविश्यासने युञ्‍ज्याद्योगमात्मविश‍ुद्धये ॥ १२ ॥,"There, having made the mind one-pointed, with controlled thought and senses, one should sit on a seat and practice yoga for self-purification."
13,समं कायशिरोग्रीवं धारयन्नचलं स्थिर: ।सम्प्रेक्ष्य नासिकाग्रं स्वं दिशश्चानवलोकयन् ॥ १३ ॥,"Holding the body, head, and neck straight and steady, gazing at the tip of one's nose, and not looking in any other direction."
14,प्रशान्तात्मा विगतभीर्ब्रह्मचारिव्रते स्थित: ।मन: संयम्य मच्च‍ित्तो युक्त आसीत मत्पर: ॥ १४ ॥,"With a tranquil mind, free from fear, established in the vow of celibacy, having controlled the mind, with thoughts fixed on Me, the devotee should sit, intent on Me."
15,युञ्जन्नेवं सदात्मानं योगी नियतमानस: ।शान्तिं निर्वाणपरमां मत्संस्थामधिगच्छति ॥ १५ ॥,"The yogi, constantly engaging the self in this way, with a controlled mind, attains peace, the supreme nirvana, which abides in Me."
16,नात्यश्न‍तस्तु योगोऽस्ति न चैकान्तमनश्न‍त: ।न चातिस्वप्‍नशीलस्य जाग्रतो नैव चार्जुन ॥ १६ ॥,"There is no yoga for one who eats too much or for one who does not eat at all; nor for one who sleeps too much or for one who keeps awake, O Arjuna."
17,युक्ताहारविहारस्य युक्तचेष्टस्य कर्मसु ।युक्तस्वप्‍नावबोधस्य योगो भवति दु:खहा ॥ १७ ॥,"The yoga that destroys sorrow is attained by one who is moderate in eating and recreation, balanced in work and regulated in sleep and wakefulness."
18,यदा विनियतं चित्तमात्मन्येवावतिष्ठते ।निस्पृह: सर्वकामेभ्यो युक्त इत्युच्यते तदा ॥ १८ ॥,"When the controlled mind rests in the self alone, free from desire for all objects, then one is said to be united (in yoga)."
19,यथा दीपो निवातस्थो नेङ्गते सोपमा स्मृता ।योगिनो यतचित्तस्य युञ्जतो योगमात्मन: ॥ १९ ॥,"As a lamp in a windless place does not flicker, this is the simile used for the yogi of controlled mind, practicing union with the self."
20,यत्रोपरमते चित्तं निरुद्धं योगसेवया ।यत्र चैवात्मनात्मानं पश्यन्नात्मनि तुष्यति ॥ २० ॥,"Where the mind, restrained by the practice of yoga, comes to rest; and where, seeing the self by the self, one is satisfied in the self."
21,सुखमात्यन्तिकं यत्तद्‍बुद्धिग्राह्यमतीन्द्रियम् ।वेत्ति यत्र न चैवायं स्थितश्चलति तत्त्वत: ॥ २१ ॥,"The ultimate happiness which is grasped by the intellect and is beyond the senses; when one knows this, one does not move from the truth."
22,यं लब्ध्वा चापरं लाभं मन्यते नाधिकं तत: ।यस्मिन्स्थितो न दु:खेन गुरुणापि विचाल्यते ॥ २२ ॥,"Having gained which, one does not consider any other gain greater; being established in which, one is not moved by even the greatest sorrow."
23,तं विद्याद्दु:खसंयोगवियोगं योगसंज्ञितम् ॥ २३ ॥,"One should know that to be the severance from union with suffering, which is called yoga."
24,स निश्चयेन योक्तव्यो योगोऽनिर्विण्णचेतसा ।सङ्कल्पप्रभवान्कामांस्त्यक्त्वा सर्वानशेषत: ।मनसैवेन्द्रियग्रामं विनियम्य समन्तत: ॥ २४ ॥,"""One should engage in yoga with a resolute mind, without becoming despondent. Abandoning all desires born of mental concoction, and fully controlling all the senses from all sides by the mind."""
25,शनै: शनैरुपरमेद्‍बुद्ध्या धृतिगृहीतया ।आत्मसंस्थं मन: कृत्वा न किञ्चिदपि चिन्तयेत् ॥ २५ ॥,"Gradually, step by step, with a firm resolve, one should withdraw the mind, making it rest in the Self alone, and should not think of anything else."
26,यतो यतो निश्चलति मनश्चञ्चलमस्थिरम् ।ततस्ततो नियम्यैतदात्मन्येव वशं नयेत् ॥ २६ ॥,"Wherever the restless and unsteady mind wanders, one should restrain it and bring it back under the control of the self."
27,प्रशान्तमनसं ह्येनं योगिनं सुखमुत्तमम् ।उपैति शान्तरजसं ब्रह्मभूतमकल्मषम् ॥ २७ ॥,"The supreme bliss indeed comes to this yogi whose mind is peaceful, whose passions are quieted, who has become one with Brahman, and who is free from sin."
28,युञ्जन्नेवं सदात्मानं योगी विगतकल्मष: ।सुखेन ब्रह्मसंस्पर्शमत्यन्तं सुखमश्न‍ुते ॥ २८ ॥,"The yogi, thus always keeping the self harmonized, freed from all impurities, easily attains the supreme bliss of contact with Brahman."
29,सर्वभूतस्थमात्मानं सर्वभूतानि चात्मनि ।ईक्षते योगयुक्तात्मा सर्वत्र समदर्शन: ॥ २९ ॥,"The self, harmonized by yoga, sees the Self present in all beings and all beings in the Self; he sees the same everywhere."
30,यो मां पश्यति सर्वत्र सर्वं च मयि पश्यति ।तस्याहं न प्रणश्यामि स च मे न प्रणश्यति ॥ ३० ॥,"He who sees Me everywhere and sees everything in Me, I am not lost to him, nor is he lost to Me."
31,सर्वभूतस्थितं यो मां भजत्येकत्वमास्थित: ।सर्वथा वर्तमानोऽपि स योगी मयि वर्तते ॥ ३१ ॥,"The yogi who worships Me, residing in all beings, and is established in unity, remains in Me regardless of how he lives."
32,आत्मौपम्येन सर्वत्र समं पश्यति योऽर्जुन ।सुखं वा यदि वा दु:खं स योगी परमो मत: ॥ ३२ ॥,"He who sees all beings with an equal eye, comparing them to himself, O Arjuna, whether in happiness or in sorrow, is considered the supreme yogi."
33,अर्जुन उवाचयोऽयं योगस्त्वया प्रोक्त: साम्येन मधुसूदन ।एतस्याहं न पश्यामि चञ्चलत्वात्स्थितिं स्थिराम् ॥ ३३ ॥,"Arjuna said: This yoga that has been taught by you, O Madhusudana, I do not see its stable existence due to the restlessness."
34,चञ्चलं हि मन: कृष्ण प्रमाथि बलवद्दृढम् ।तस्याहं निग्रहं मन्ये वायोरिव सुदुष्करम् ॥ ३४ ॥,"The mind is indeed fickle, O Krishna, turbulent, strong, and obstinate. I think restraining it is as difficult as controlling the wind."
35,श्रीभगवानुवाचअसंशयं महाबाहो मनो दुर्निग्रहं चलम् ।अभ्यासेन तु कौन्तेय वैराग्येण च गृह्यते ॥ ३५ ॥,"The Blessed Lord said: Undoubtedly, O mighty-armed one, the mind is difficult to control and restless. But it can be controlled, O son of Kunti, by practice and detachment."
36,असंयतात्मना योगो दुष्प्राप इति मे मति: ।वश्यात्मना तु यतता शक्योऽवाप्‍तुमुपायत: ॥ ३६ ॥,"For one whose mind is unrestrained, yoga is difficult to attain, I think. But for one who is self-controlled and striving, it is possible to achieve by proper means."
37,अर्जुन उवाचअयति: श्रद्धयोपेतो योगाच्च‍‍लितमानस: ।अप्राप्य योगसंसिद्धिं कां गतिं कृष्ण गच्छति ॥ ३७ ॥,"Arjuna said: A person who is not self-controlled, but who has faith, and whose mind wanders away from yoga, failing to attain perfection in yoga—what is his destination, O Krishna?"
38,कच्च‍िन्नोभयविभ्रष्टश्छिन्नाभ्रमिव नश्यति ।अप्रतिष्ठो महाबाहो विमूढो ब्रह्मण: पथि ॥ ३८ ॥,"""Does he not perish, like a cloud torn apart, being unsettled, O mighty-armed one, confused on the path of Brahman?"""
39,एतन्मे संशयं कृष्ण छेत्तुमर्हस्यशेषत: ।त्वदन्य: संशयस्यास्य छेत्ता न ह्युपपद्यते ॥ ३९ ॥,"""O Krishna, you are indeed worthy of dispelling this doubt of mine completely. No one else is capable of resolving this doubt."""
40,श्रीभगवानुवाचपार्थ नैवेह नामुत्र विनाशस्तस्य विद्यते ।न हि कल्याणकृत्कश्चिद्दुर्गतिं तात गच्छति ॥ ४० ॥,"The Blessed Lord said: O Partha, neither in this world nor in the next is there destruction for him; for the doer of good, O dear one, never comes to grief."
41,प्राप्य पुण्यकृतां लोकानुषित्वा शाश्वती: समा: ।श‍ुचीनां श्रीमतां गेहे योगभ्रष्टोऽभिजायते ॥ ४१ ॥,"Having attained the worlds of the righteous and having dwelled there for many years, one who has fallen from yoga is born again in the house of the pure and prosperous."
42,अथवा योगिनामेव कुले भवति धीमताम् ।एतद्धि दुर्लभतरं लोके जन्म यदीदृशम् ॥ ४२ ॥,"Or he takes birth in the family of wise yogis. Indeed, such a birth as this is very difficult to obtain in this world. (Verse 42)"
43,तत्र तं बुद्धिसंयोगं लभते पौर्वदेहिकम् ।यतते च ततो भूय: संसिद्धौ कुरुनन्दन ॥ ४३ ॥,"There he regains the intelligence from his previous body, and then he strives more than before for perfection, O son of Kuru."
44,पूर्वाभ्यासेन तेनैव ह्रियते ह्यवशोऽपि स: ।जिज्ञासुरपि योगस्य शब्दब्रह्मातिवर्तते ॥ ४४ ॥,"By the force of the previous practice, he is carried away even unwillingly. Even the seeker of yoga transcends the Vedic sound."
45,प्रयत्‍नाद्यतमानस्तु योगी संश‍ुद्धकिल्बिष: ।अनेकजन्मसंसिद्धस्ततो याति परां गतिम् ॥ ४५ ॥,"The yogi, striving with great effort, purified of sins, and perfected through many births, then attains the supreme goal."
