slokas_no,slokas,slokas_translated
1,अर्जुन उवाचये शास्त्रविधिमुत्सृज्य यजन्ते श्रद्धयान्विता: ।तेषां निष्ठा तु का कृष्ण सत्त्वमाहो रजस्तम: ॥ १ ॥,"Arjuna said: What is the position of those who, disregarding the scriptural injunctions, worship with faith? Is it in goodness, passion, or ignorance, O Krishna?"
2,श्रीभगवानुवाचत्रिविधा भवति श्रद्धा देहिनां सा स्वभावजा ।सात्त्विकी राजसी चैव तामसी चेति तां श‍ृणु ॥ २ ॥,"The Blessed Lord said: The faith of embodied beings is of three kinds, born of their own nature: the sattvic, the rajasic, and the tamasic. Listen to it."
3,सत्त्वानुरूपा सर्वस्य श्रद्धा भवति भारत ।श्रद्धामयोऽयं पुरुषो यो यच्छ्रद्ध: स एव स: ॥ ३ ॥,"For everyone, faith is in accordance with their nature, O Bharata. A person is made of faith; as is their faith, so they are."
4,यजन्ते सात्त्विका देवान्यक्षरक्षांसि राजसा: ।प्रेतान्भूतगणांश्चान्ये यजन्ते तामसा जना: ॥ ४ ॥,"The virtuous worship the gods, the passionate worship the demigods and demons, and others, who are of darkness, worship spirits and ghosts."
5,अशास्त्रविहितं घोरं तप्यन्ते ये तपो जना: ।दम्भाहङ्कारसंयुक्ता: कामरागबलान्विता: ॥ ५ ॥,"People who perform severe penances not prescribed by the scriptures, who are full of hypocrisy and ego, and who are driven by the strength of lust and attachment."
6,कर्षयन्त: शरीरस्थं भूतग्राममचेतस: ।मां चैवान्त: शरीरस्थं तान्विद्ध्यासुरनिश्चयान् ॥ ६ ॥,"Those who torture the group of elements in the body and me also, who dwell within the body, know them to be of demonic resolve."
7,आहारस्त्वपि सर्वस्य त्रिविधो भवति प्रिय: ।यज्ञस्तपस्तथा दानं तेषां भेदमिमं श‍ृणु ॥ ७ ॥,"Food, too, is of three kinds and is dear to everyone. So also are sacrifice, austerity, and charity. Hear the distinction among them. (Verse 7)"
8,आयु:सत्त्वबलारोग्यसुखप्रीतिविवर्धना: ।रस्या: स्‍निग्धा: स्थिरा हृद्या आहारा: सात्त्विकप्रिया: ॥ ८ ॥,"Foods that increase life, vitality, strength, health, happiness, and satisfaction, which are juicy, nourishing, stable, and pleasing to the heart, are dear to those who are of a sattvic nature."
9,कट्‌वम्ललवणात्युष्णतीक्ष्णरूक्षविदाहिन: ।आहारा राजसस्येष्टा दु:खशोकामयप्रदा: ॥ ९ ॥,"Foods that are bitter, sour, salty, excessively hot, pungent, dry, and burning are dear to those in the mode of passion. They cause pain, sorrow, and disease."
10,यातयामं गतरसं पूति पर्युषितं च यत् ।उच्छिष्टमपि चामेध्यं भोजनं तामसप्रियम् ॥ १० ॥,"Stale, tasteless, putrid, decomposed, and impure food, as well as leftovers, are dear to those in the mode of ignorance."
11,अफलाकाङ्‌‍क्षिभिर्यज्ञो विधिदिष्टो य इज्यते ।यष्टव्यमेवेति मन: समाधाय स सात्त्विक: ॥ ११ ॥,"The sacrifice that is performed according to the directions of scripture, by those who do not desire any reward and who have fixed their mind on the duty of sacrifice, is of the nature of goodness."
12,अभिसन्धाय तु फलं दम्भार्थमपि चैव यत् ।इज्यते भरतश्रेष्ठ तं यज्ञं विद्धि राजसम् ॥ १२ ॥,"The sacrifice which is offered, O best of the Bharatas, seeking a reward and for the sake of ostentation, know that sacrifice to be in the mode of passion."
13,विधिहीनमसृष्टान्नं मन्‍त्रहीनमदक्षिणम् ।श्रद्धाविरहितं यज्ञं तामसं परिचक्षते ॥ १३ ॥,"A sacrifice which is devoid of proper rites, where no food is distributed, which lacks hymns and offerings, and is devoid of faith, is considered to be in the mode of ignorance."
