slokas_no,slokas,slokas_translated
1,अर्जुन उवाचसन्न्यासं कर्मणां कृष्ण पुनर्योगं च शंससि ।यच्छ्रेय एतयोरेकं तन्मे ब्रूहि सुनिश्चितम् ॥ १ ॥,"Arjuna said: O Krishna, you praise renunciation of actions and again you praise yoga. Tell me for certain which one of these is better."
2,श्रीभगवानुवाचसन्न्यास: कर्मयोगश्च नि:श्रेयसकरावुभौ ।तयोस्तु कर्मसन्न्यासात्कर्मयोगो विशिष्यते ॥ २ ॥,"The Blessed Lord said: Renunciation and the yoga of action both lead to the highest good; but of the two, the yoga of action is superior to the renunciation of action."
3,ज्ञेय: स नित्यसन्न्यासी यो न द्वेष्टि न काङ्‍क्षति ।निर्द्वन्द्वो हि महाबाहो सुखं बन्धात्प्रमुच्यते ॥ ३ ॥,"He is to be known as a perpetual renunciant who neither hates nor desires. Indeed, one who is free from dualities, O mighty-armed, easily becomes liberated from bondage."
4,सां‍ख्ययोगौ पृथग्बाला: प्रवदन्ति न पण्डिता: ।एकमप्यास्थित: सम्यगुभयोर्विन्दते फलम् ॥ ४ ॥,"The unenlightened speak of the paths of knowledge and yoga as different, but not the wise. By following either path perfectly, one attains the results of both."
5,यत्सां‍ख्यै: प्राप्यते स्थानं तद्योगैरपि गम्यते ।एकं सां‍ख्यं च योगं च य: पश्यति स पश्यति ॥ ५ ॥,The state that is attained by the Sankhyas is also reached by the Yogis. He who sees Sankhya and Yoga as one truly sees.
6,सन्न्यासस्तु महाबाहो दु:खमाप्‍तुमयोगत: ।योगयुक्तो मुनिर्ब्रह्म न चिरेणाधिगच्छति ॥ ६ ॥,"Renunciation, O mighty-armed, is difficult to attain without Yoga. The sage who is united in Yoga attains Brahman without delay."
7,योगयुक्तो विश‍ुद्धात्मा विजितात्मा जितेन्द्रिय: ।सर्वभूतात्मभूतात्मा कुर्वन्नपि न लिप्यते ॥ ७ ॥,"The one who is united with yoga, with a pure soul, self-controlled, having conquered the senses, who sees the Self in all beings, is not tainted even while performing actions."
8,नैव किञ्चित्करोमीति युक्तो मन्येत तत्त्ववित् ।पश्यञ्श‍ृण्वन्स्पृशञ्जिघ्रन्नश्न‍न्गच्छन्स्वपन्श्वसन् ॥ ८ ॥,"The knower of truth should think, ""I do nothing at all,"" even while seeing, hearing, touching, smelling, eating, going, sleeping, breathing."
9,प्रलपन्विसृजन्गृह्णन्नुन्मिषन्निमिषन्नपि ।इन्द्रियाणीन्द्रियार्थेषु वर्तन्त इति धारयन् ॥ ९ ॥,"Talking, giving up, taking, opening and closing the eyes, he knows that the senses move among the sense objects."
10,ब्रह्मण्याधाय कर्माणि सङ्गं त्यक्त्वा करोति य: ।लिप्यते न स पापेन पद्मपत्रमिवाम्भसा ॥ १० ॥,"One who performs actions by dedicating them to the Supreme, abandoning attachment, is not tainted by sin, just as a lotus leaf is not tainted by water."
11,कायेन मनसा बुद्ध्या केवलैरिन्द्रियैरपि ।योगिन: कर्म कुर्वन्ति सङ्गं त्यक्त्वात्म‍श‍ुद्धये ॥ ११ ॥,"Yogis perform actions with the body, mind, intellect, and even with the senses, abandoning attachment, for the purification of the self."
12,युक्त: कर्मफलं त्यक्त्वा शान्तिमाप्‍नोति नैष्ठिकीम् ।अयुक्त: कामकारेण फले सक्तो निबध्यते ॥ १२ ॥,"The one who is disciplined, having renounced the fruits of action, attains peace that is steadfast. The undisciplined one, attached to the fruit of action due to desire, is bound."
13,सर्वकर्माणि मनसा सन्न्यस्यास्ते सुखं वशी ।नवद्वारे पुरे देही नैव कुर्वन्न कारयन् ॥ १३ ॥,"Renouncing all actions by the mind, the self-controlled one resides happily in the city of nine gates, neither acting nor causing action."
14,न कर्तृत्वं न कर्माणि लोकस्य सृजति प्रभु: ।न कर्मफलसंयोगं स्वभावस्तु प्रवर्तते ॥ १४ ॥,"The Lord does not create agency or actions for the world, nor the connection with the fruits of actions; rather, it is nature that acts."
15,नादत्ते कस्यचित्पापं न चैव सुकृतं विभु: ।अज्ञानेनावृतं ज्ञानं तेन मुह्यन्ति जन्तव: ॥ १५ ॥,"The Lord does not take on anyone's sin or merit. Knowledge is covered by ignorance, and because of that, living beings are deluded."
16,ज्ञानेन तु तदज्ञानं येषां नाशितमात्मन: ।तेषामादित्यवज्ज्ञानं प्रकाशयति तत्परम् ॥ १६ ॥,"But for those whose ignorance is destroyed by knowledge, their knowledge, like the sun, reveals that supreme (truth)."
