Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Joking
"The Supreme Personality of Godhead said: My dear Arjuna, because you are never envious of Me, I shall impart to you this most secret wisdom, knowing which you shall be relieved of the miseries of material existence.",1,0,1,0,0,0,0,0,0,0
"Royal knowledge is the royal secret, sacred and supreme. It is directly perceived, righteous, and brings eternal happiness.",1,0,1,0,0,0,0,0,0,0
"Men of little faith, who do not follow this law, O harasser of foes, return to the path of mortal existence.",0,0,0,1,0,0,1,0,0,0
"By Me, in My unmanifested form, this entire universe is pervaded. All beings exist in Me, but I am not contained in them.",0,0,0,1,0,1,0,0,0,0
"Behold, all beings rest in Me, but I do not rest in them. Nor am I in them, yet they are sustained by Me.",0,0,1,1,0,1,0,0,0,0
"Just as the mighty wind, moving everywhere, rests always in space, so too all beings rest in Me.",1,0,0,0,0,0,0,0,0,0
"O son of Kunti, all created beings enter into My nature at the end of a kalpa; and I create them again at the beginning of a kalpa.",1,0,0,0,0,0,0,0,0,0
"Taking control of my own nature, I create again and again this whole assemblage of beings, subject to nature's control.",1,0,0,0,0,0,0,0,0,0
"O Dhananjaya, actions do not bind Me, who remains detached like one indifferent.",0,0,1,1,0,1,1,0,0,0
"Under My supervision, nature produces all moving and nonmoving beings. By this cause, O son of Kunti, the world revolves.",1,0,1,0,0,0,0,0,0,0
Foolish people disregard me when I take on a human form; they do not know my true nature as the great Lord of beings.,0,0,0,1,0,1,1,0,0,0
"Those who are of futile desires, actions, and knowledge, who are of deluded understanding, take refuge in the delusive nature of demons and demons.",0,0,0,1,0,1,0,0,0,0
"But those who worship Me, giving up all their activities unto Me and being devoted to Me without deviation, engaged in devotional service and always meditating upon Me, having fixed their minds upon Me, O son of Pritha, for them I am the swift deliverer from the ocean of birth and death.",1,0,1,0,0,0,0,0,0,0
"Always praising Me and striving with firm resolve, bowing down to Me, they worship Me with devotion constantly united.",1,0,1,0,0,0,0,0,0,0
"Others also worship Me in the sacrifice of knowledge, with the realization that I am one and diverse.",1,0,0,0,0,0,0,0,0,0
"I am the ritual, I am the sacrifice, I am the offering to the ancestors, I am the healing herb. I am the mantra, I am the clarified butter, I am the fire, I am the oblation.",1,0,0,0,0,0,0,0,0,1
"I am the father, the mother, the supporter, and the grandfather of this world. I am the object of knowledge, the purifier, the syllable Om, as well as the Rig, the Sama, and the Yajur Vedas.",1,0,0,0,0,0,1,0,0,0
"Movement, Supporter, Master, Witness, Abode, Refuge, Friend, Origin, Dissolution, Foundation, Storehouse, Seed, Imperishable.",1,0,0,0,0,0,0,0,0,0
"I produce heat and withhold rain, I am both immortality and death, O Arjuna.",0,0,0,1,0,0,1,0,0,1
"The three Vedas lead to me; by the drinking of Soma, they desire to go to heaven; and having obtained the pure and sinless worlds of the god, they enjoy in heaven the divine pleasures of the gods.",0,0,0,0,0,0,0,0,0,0
"Having enjoyed the vast heavenly world, they enter the mortal world when their merit is exhausted. Thus, those who follow the threefold path, desiring desires, gain and lose.",0,0,0,1,0,1,0,0,0,0
"Those who constantly think of Me and worship Me with devotion, I carry what they lack and preserve what they already have.",1,0,0,0,0,0,0,0,0,0
"Even those who worship other gods with faith, they also worship me, O son of Kunti, but in an improper way.",0,0,0,0,0,1,1,0,0,0
"I am the enjoyer and the Lord of all sacrifices, but they do not know Me in truth; therefore they fall.",0,0,0,1,0,1,0,0,0,0
"The devout go to the gods, the ancestors go to the ancestors, the worshippers of the spirits go to the spirits, and those who worship Me come to Me.",0,0,0,1,0,0,1,0,0,0
"A leaf, a flower, a fruit, water—whatever is offered to Me with devotion, I accept from the pure-hearted.",1,0,1,0,0,0,0,0,0,0
"Whatever you do, whatever you eat, whatever you offer in sacrifice, whatever you give, whatever austerity you perform, O son of Kunti, do that as an offering to Me.",1,0,1,0,0,0,1,0,0,0
"By the virtue of good and bad results, you will be freed from the bondage of karma. With a mind focused on the renunciation of actions, you will be liberated and will come to Me.",1,0,0,0,0,0,0,0,0,0
"I am equal to all beings; I have no hatred, nor any special affection. But those who worship Me with devotion, they are in Me and I am in them.",1,0,1,0,0,1,0,0,0,0
"Even if one commits the most abominable actions, if he is engaged in devotional service, he is to be considered saintly because he is properly situated.",1,0,1,0,0,0,0,0,0,0
"Quickly he becomes righteous, and attains lasting peace. O son of Kunti, declare it boldly that My devotee never perishes.",1,0,1,0,0,0,0,0,0,0
"O Arjuna, even those who are born of sinful origin, women, merchants, as well as laborers, can attain the supreme destination by taking refuge in Me.",0,0,1,1,0,1,1,0,0,0
"What, then, do the virtuous Brahmins, devotees, and royal sages, having attained this impermanent and unhappy world, worship Me?",0,0,1,0,0,1,1,0,0,0
"Always think of Me, become My devotee, worship Me, and offer your homage unto Me. Thus you will come to Me without fail. I promise you this because you are My very dear friend. (Bhagavad G",1,0,1,0,0,0,0,0,0,0
