Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Joking
"Arjuna said: If You think that knowledge is superior to action, O Krishna, then why do You want me to engage in this terrible action?",0,0,0,1,0,0,1,0,0,0
"By a mixed sentence, you confuse my intellect as if it were a single one. Tell me decisively that by which I may attain the good.",0,0,0,1,0,0,0,0,0,1
"The Supreme Lord said: In this world, there are two types of devotion, as I have explained before, O sinless one – the devotion of knowledge through the path of Sankhya, and the devotion of action for the yogis.",0,0,0,0,0,0,1,0,0,0
"Not by refraining from action does a man attain freedom from action, nor by mere renunciation does he attain perfection.",0,0,0,1,0,0,0,0,0,0
No one ever remains even for a moment without performing action; for everyone is made to act helplessly by the qualities born of nature.,0,0,0,1,0,0,1,0,0,0
"Restraining the senses, one should sit with the mind focused on Me. The deluded soul who acts with false ego, thinking themselves the doer, is called a pretender.",0,0,0,0,0,0,1,0,0,1
"But he who controls the senses by the mind, and engages his active organs in works of devotion, without attachment, he excels.",0,0,0,0,0,0,1,0,0,0
"Perform your prescribed duties, for action is superior to inaction. Even the maintenance of your body would not be possible without action.",1,0,0,0,0,0,0,0,0,0
"For the sake of sacrifice, perform your duties; this world is bound by actions. Therefore, O son of Kunti, perform your prescribed duties for that reason, and in that way you will remain free from attachment.",1,0,1,0,0,0,0,0,0,0
"Having created mankind together with sacrifices, Prajapati said, ""By this (sacrifice) may you all prosper; may this be your milker of desires.""",1,0,1,0,0,0,0,0,0,0
"By worshipping the gods, may the gods be pleased with you. By pleasing one another, you will attain the supreme good.",1,0,1,0,0,0,0,0,0,0
"The gods, satisfied with the offerings made in the sacrifice, will bestow upon you your desired enjoyments. He who enjoys these gifts without offering them to the gods is indeed a thief.",0,0,0,0,0,0,1,0,0,0
"The virtuous who eat the remnants of the sacrifice are freed from all sins; but those sinful persons who cook food for their own sake, they eat sin.",0,0,0,0,0,0,1,0,0,0
Beings are born from food; food is produced from rain; rain comes from sacrifice; and sacrifice arises from the performance of prescribed duties.,1,0,0,0,0,0,0,0,0,0
"Know that work arises from the Supreme Brahman, and the Supreme Brahman arises from the imperishable akshara. Therefore, the all-pervading Brahman is eternally established in sacrifice.",1,0,1,0,0,0,0,0,0,0
"One who does not follow the wheel thus set revolving, who is of sinful life, rejoicing in the senses, that deluded soul lives in vain.",0,0,0,1,0,1,1,0,0,0
"One who is satisfied in himself and finds pleasure in himself, and is contented within himself, for him, there is no duty.",0,0,0,1,0,1,1,0,0,0
"""Neither by performing one's duties does one attain the purpose, nor by not performing them does one. No one can remain even for a moment without performing actions.""",0,0,0,1,0,1,1,0,0,0
"Therefore, always perform your duties without attachment. By performing work without attachment, one attains the Supreme.",1,0,1,0,0,0,0,0,0,0
The Janakas and others attained perfection through action alone. Even with a view to the welfare of the world you should perform your duty.,1,0,0,0,0,0,0,0,0,0
"Whatever action a great man performs, common men follow. And whatever standards he sets by exemplary acts, all the world pursues.",1,1,0,0,0,0,0,0,0,0
"O Partha, there is nothing in the three worlds that should be done by Me, nor is there anything unobtained that should be obtained; yet I engage in action.",0,0,0,1,0,1,1,0,0,0
"For, if I did not engage in action, O Partha, men would follow my path in every way.",0,0,0,1,0,0,0,0,0,0
These worlds will perish if I do not perform my duty; I shall be the cause of mixing of castes and shall be destroying these people.,0,0,0,1,0,0,1,0,0,0
"The wise should act without attachment, desiring the welfare of the world, O Arjuna; they should perform their duties with detachment.",1,0,1,0,0,0,1,0,0,0
"The wise should not unsettle the minds of the ignorant who are attached to action; rather, they should encourage them to perform all their duties, while engaging themselves in all actions.",1,0,0,0,0,0,0,0,0,0
"The actions are performed by the qualities of nature entirely. Deluded by the ego, one thinks, ""I am the doer.""",0,0,0,1,0,1,0,0,0,1
"The wise man, O mighty-armed, distinguishes between the functions of the senses and the qualities of nature, knowing that the senses operate among the qualities.",1,0,1,0,0,0,0,0,0,0
"Deluded by the qualities of nature, beings are attached to actions performed in accordance with those qualities. One should not unsettle the minds of the ignorant who do not understand the whole.",0,0,0,1,0,1,1,0,0,0
"Having abandoned all actions in Me through the intellect of spiritual knowledge, being free from desire and ego, fight without anxiety.",1,0,0,0,0,0,0,0,0,0
"Those who follow my teachings with faith and without envy, they too are freed from actions.",1,0,0,0,0,0,0,0,0,0
Those who envy this teaching of Mine do not understand My true nature. Consider them to be lost souls of limited knowledge.,0,0,0,1,0,1,1,0,0,0
Even the wise man acts according to his own nature. All beings follow their nature. What will restraint do?,1,0,0,1,0,0,0,0,0,0
"The attachment of the senses to their objects leads to attraction and aversion. Do not come under their control, for they are your enemies.",0,0,0,0,0,0,1,0,0,0
"One's own duty, though imperfect, is preferable to another's duty well performed. It is better to die discharging one's own duty; the duty of another is fraught with fear.",1,0,0,1,0,0,0,0,0,0
"Arjuna said: O descendant of Vrishni, by what is one impelled to commit sinful acts, even unwillingly, as if engaged by force?",0,0,0,1,0,0,1,0,0,0
"The Supreme Personality of Godhead said: It is lust only, Arjuna, which is born of contact with the material mode of passion and later transformed into wrath. It is the all-devouring, sinful enemy of this world.",0,0,0,1,0,0,1,0,0,0
"Fire is covered by smoke, as a mirror is covered by dust, and as the embryo is covered by the womb, so is this covered by that.",0,0,0,1,0,1,0,0,0,1
"Covered by this knowledge, the wise ones, who are constant enemies, O Kaunteya, in the form of desire, insatiable, and fiery.",1,0,0,0,0,0,1,0,0,0
"The senses, mind, and intellect are said to be the seat of this delusion. With these, it deludes the embodied soul by covering knowledge.",0,0,0,1,0,0,0,0,0,0
"Therefore, control the senses at the outset, O Arjuna. Destroy this sinful enemy which destroys knowledge and realization.",1,0,1,0,0,0,1,0,0,0
The senses are said to be superior to the sense objects; the mind is superior to the senses; the intellect is superior to the mind; but that which is superior to the intellect is the self.,0,0,0,1,0,0,1,0,0,1
"Thus knowing the supreme self through intellect, control the self by the self. O mighty-armed Arjuna, destroy the enemy in the form of desire, which is difficult to conquer. (Bhagavad Gita 3.43)",1,0,1,0,0,0,0,0,0,0
