Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Joking
The Blessed Lord said: They speak of the eternal Ashvattha tree with its roots above and branches below; its leaves are the Vedas. He who knows it is the knower of the Vedas.,0,0,0,0,0,0,0,0,0,0
"Below and above are spread its branches, nourished by the qualities; sense-objects are its buds. Below stretch the roots producing actions in the world of men.",1,0,0,0,0,0,0,0,0,0
"The form of this tree cannot be perceived here, neither its end, beginning, nor its continued existence. Cut down this firmly rooted Ashvattha tree with the strong axe of detachment.",1,0,0,0,0,0,1,0,0,0
"That goal should be sought, having reached which they do not return. It is that goal, the highest goal. Having reached it, one is not born again. It is that ancient primeval Person.",0,0,0,1,0,1,1,0,0,0
"Being free from attachment, fear, and anger; being self-realized; being indifferent to pleasure and pain; and being free from the dualities of joy and sorrow, the wise attain the eternal, imperishable abode.",1,0,1,0,0,0,0,0,0,0
"The sun does not illuminate it, nor the moon, nor fire. Those who reach it do not return. That is my supreme abode.",0,0,1,1,0,1,1,0,0,0
"The living entities in this conditioned world are My eternal fragmental parts. Due to conditioned life, they are struggling very hard with the six senses, which include the mind.",0,0,0,1,0,1,0,0,0,0
"When the soul acquires a body and when it leaves it, it is like the wind carrying scents from their source.",1,0,0,0,0,0,0,0,0,1
"The senses of hearing, sight, touch, taste, and smell, along with the mind, dwell upon the objects.",0,0,0,0,0,0,0,0,0,0
"Even when a person is about to depart, or is standing still, or is enjoying sense gratification, he should understand that he is in a conditioned state of life. Those with the vision of knowledge can see this.",1,0,0,1,0,0,0,0,0,0
"The diligent ones see Him who is seated within themselves, those who strive without effort do not see Him, though He is ever engaged in work.",0,0,0,1,0,1,1,0,0,0
"Know that all light in the universe comes from Me. Understand that the light in the sun, the light in the moon, and the light in fire all come from Me.",1,0,0,0,0,0,0,0,0,0
"Entering into the earth, I sustain all beings with my vital energy. Becoming the moon, I nourish all plants.",1,0,0,0,0,0,0,0,0,1
"Becoming the universal fire, I reside in the bodies of living beings. United with the breaths of prana and apana, I digest the four types of food.",1,0,0,0,0,0,0,0,0,1
"I am seated in everyone's heart, and from Me come remembrance, knowledge, and forgetfulness. By all the Vedas, I am to be known; indeed, I am the compiler of Vedanta, and I am the knower of the Vedas.",1,0,1,0,0,1,0,0,0,0
"In this world there are two kinds of beings, the perishable and the imperishable. The perishable are all beings, and the imperishable is called the self.",0,0,0,1,0,0,1,0,0,1
The supreme person is different from the individual soul. He is described as the supreme transcendental person who sustains the three worlds and is the imperishable Lord.,1,0,1,0,0,0,0,0,0,0
"Because I am beyond the perishable and superior to the imperishable, I am declared in the world and in the Veda as the highest person.",1,0,0,0,0,0,1,0,0,0
"One who thus knows Me, the Supreme Personality of Godhead, without doubting, is the knower of everything. He therefore engages himself in full devotional service to Me, O son of Bharata. (Bhagavad Gita 15.19)",1,0,1,0,0,0,0,0,0,0
"Thus, the most secret science has been explained by Me, O sinless one. Understanding this, a person becomes wise and has accomplished all duties, O Arjuna.",1,0,1,0,0,0,0,0,0,0
